Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),81.09,46.49,83.73,61302.49,64.85,70.33,76.10,82.23,82.59,82.81,82.98,83.04,83.14,4.43
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,201.65,51.00,353.00,152451.00,59.80,94.00,131.00,168.00,209.00,239.00,263.00,274.00,307.00,54.67
HTTP Chunks Sent,1.00,1.00,1.00,756.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.98,5.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.07
HTTP Connection Overhead (ms),0.01,0.00,0.98,5.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.07
HTTP Connection Reused (ratio),0.99,0.00,1.00,748.00,0.55,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),51.52,13.45,89.75,38949.90,15.68,24.30,33.68,43.04,53.36,60.93,67.04,69.79,78.17,13.80
HTTP Data Sent (KB),1.06,0.59,1.66,803.66,0.65,0.73,0.83,0.90,1.04,1.19,1.36,1.40,1.43,0.21
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2489.24,627.54,4288.03,1881864.99,825.21,1219.99,1639.54,2060.74,2545.00,2911.59,3226.27,3423.28,4218.33,675.20
HTTP Receiving (ms),2439.99,593.55,4249.86,1844631.05,721.45,1118.73,1559.46,2020.14,2508.65,2860.91,3182.20,3356.56,3954.36,669.57
HTTP Sending (ms),0.16,0.12,1.21,122.77,0.13,0.13,0.14,0.14,0.15,0.16,0.18,0.21,0.58,0.08
HTTP Total Time (ms),2489.25,627.54,4288.03,1881870.22,825.21,1219.99,1639.54,2060.74,2545.00,2911.59,3226.27,3423.28,4218.33,675.20
HTTP Waiting (TTFB) (ms),49.09,30.95,531.09,37111.17,31.82,32.73,33.25,33.97,34.75,36.08,44.89,62.68,459.02,68.01
Input Sequence Length (tokens),241.40,135.00,354.00,182495.00,145.00,164.00,186.00,203.00,235.00,277.00,311.00,319.00,333.00,47.71
Inter Chunk Latency (ms),12.21,0.00,145.00,1844513.53,9.87,10.65,10.92,11.33,11.78,12.38,13.60,14.25,23.96,3.01
Inter Token Latency (ms),12.16,11.84,15.02,9195.17,11.91,11.94,11.95,11.97,11.99,12.01,12.74,13.69,14.26,0.53
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),201.67,51.00,353.00,152461.00,59.80,94.00,131.00,168.00,209.00,239.00,263.00,274.00,307.00,54.68
Output Token Count (tokens),201.67,51.00,353.00,152461.00,59.80,94.00,131.00,168.00,209.00,239.00,263.00,274.00,307.00,54.68
Output Token Throughput Per User (tokens/sec/user),82.36,66.58,84.47,62261.28,70.13,73.02,78.51,83.25,83.39,83.58,83.69,83.76,83.98,3.19
Prefill Throughput Per User (tokens/sec/user),6470.80,339.75,10418.81,4891921.69,512.55,3781.78,4319.69,5548.42,6510.92,7792.06,8753.59,9166.58,9544.65,1859.61
Request Latency (ms),2489.14,627.59,4288.08,1881790.72,825.26,1220.04,1639.59,2060.79,2545.06,2911.64,3226.33,3423.33,4218.40,675.15
Time to First Output Token (ms),49.31,31.18,531.79,37277.19,32.02,32.94,33.45,34.18,34.96,36.31,45.12,62.87,459.77,68.08
Time to First Token (ms),49.31,31.18,531.79,37277.19,32.02,32.94,33.45,34.18,34.96,36.31,45.12,62.87,459.77,68.08
Time to Second Token (ms),15.55,2.71,145.00,11755.21,9.62,10.46,10.67,11.06,11.55,12.19,13.43,14.48,143.00,20.95
Usage Completion Tokens (tokens),201.67,51.00,353.00,152461.00,59.80,94.00,131.00,168.00,209.00,239.00,263.00,274.00,307.00,54.68
Usage Prompt Tokens (tokens),241.40,135.00,354.00,182495.00,145.00,164.00,186.00,203.00,235.00,277.00,311.00,319.00,333.00,47.71
Usage Total Tokens (tokens),443.06,230.00,595.00,334956.00,236.05,274.00,358.00,396.00,441.00,499.00,540.00,550.00,581.00,75.47

Metric,Value
Benchmark Duration (sec),59.99
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),2541.36
Request Count,756.00
Request Throughput (requests/sec),12.60
Total Input Sequence Length (tokens),182495.00
Total Output Sequence Length (tokens),152461.00
Total Output Tokens (tokens),152461.00
Total Token Throughput (tokens/sec),5583.35
Total Usage Completion Tokens (tokens),152461.00
Total Usage Prompt Tokens (tokens),182495.00
Total Usage Total Tokens (tokens),334956.00
