Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),84.18,72.47,86.39,34766.76,75.09,78.93,79.79,84.90,85.55,85.72,85.84,85.91,86.08,2.80
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,190.91,82.00,352.00,78845.00,100.00,125.00,138.00,164.00,187.00,216.00,242.00,257.00,303.00,43.63
HTTP Chunks Sent,1.00,1.00,1.00,413.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,413.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),48.80,21.33,89.45,20155.09,25.86,32.17,35.44,41.90,47.88,55.17,61.72,65.63,77.11,11.01
HTTP Data Sent (KB),1.04,0.53,1.54,428.62,0.66,0.69,0.75,0.88,1.04,1.21,1.31,1.37,1.47,0.21
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2268.74,964.24,4379.25,936991.63,1175.89,1501.62,1628.29,1933.38,2222.79,2546.27,2889.55,3093.77,3683.22,516.42
HTTP Receiving (ms),2227.41,932.18,4335.80,919918.85,1144.49,1455.53,1595.59,1898.31,2181.98,2506.44,2855.54,3057.52,3645.01,516.44
HTTP Sending (ms),0.15,0.12,0.38,60.06,0.12,0.13,0.13,0.13,0.13,0.15,0.17,0.19,0.28,0.03
HTTP Total Time (ms),2268.74,964.24,4379.25,936991.63,1175.89,1501.62,1628.29,1933.38,2222.79,2546.27,2889.55,3093.77,3683.22,516.42
HTTP Waiting (TTFB) (ms),41.19,30.62,257.03,17012.72,30.97,31.39,31.78,32.37,32.92,34.02,45.38,56.25,245.78,32.44
Input Sequence Length (tokens),232.90,114.00,344.00,96186.00,143.00,147.00,167.00,193.00,235.00,270.00,294.00,304.00,337.00,48.14
Inter Chunk Latency (ms),11.77,4.08,140.82,919848.77,10.17,10.70,10.90,11.21,11.54,11.91,12.33,12.68,22.41,2.04
Inter Token Latency (ms),11.73,11.47,12.92,4842.96,11.52,11.54,11.55,11.56,11.57,11.59,12.32,12.39,12.48,0.31
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),190.91,82.00,352.00,78845.00,100.00,125.00,138.00,164.00,187.00,216.00,242.00,257.00,303.00,43.63
Output Token Count (tokens),190.91,82.00,352.00,78845.00,100.00,125.00,138.00,164.00,187.00,216.00,242.00,257.00,303.00,43.63
Output Token Throughput Per User (tokens/sec/user),85.34,77.39,87.21,35243.60,80.14,80.74,81.17,86.26,86.42,86.53,86.62,86.67,86.81,2.17
Prefill Throughput Per User (tokens/sec/user),6503.13,840.24,10868.79,2685794.40,1035.88,3337.11,4514.26,5425.66,6492.50,7910.56,8823.18,9116.84,10312.98,1860.28
Request Latency (ms),2268.63,964.29,4379.30,936944.82,1175.94,1501.67,1628.34,1933.43,2222.84,2546.31,2889.60,3093.82,3683.27,516.39
Time to First Output Token (ms),41.39,30.82,257.38,17096.04,31.18,31.60,31.97,32.56,33.13,34.22,45.57,56.44,245.97,32.46
Time to First Token (ms),41.39,30.82,257.38,17096.04,31.18,31.60,31.97,32.56,33.13,34.22,45.57,56.44,245.97,32.46
Time to Second Token (ms),13.55,9.58,140.82,5594.28,9.99,10.41,10.62,10.90,11.28,11.76,12.22,12.81,84.36,12.95
Usage Completion Tokens (tokens),190.91,82.00,352.00,78845.00,100.00,125.00,138.00,164.00,187.00,216.00,242.00,257.00,303.00,43.63
Usage Prompt Tokens (tokens),232.90,114.00,344.00,96186.00,143.00,147.00,167.00,193.00,235.00,270.00,294.00,304.00,337.00,48.14
Usage Total Tokens (tokens),423.80,249.00,581.00,175031.00,282.00,324.00,339.00,374.00,419.00,477.00,509.00,519.00,568.00,64.01

Metric,Value
Benchmark Duration (sec),59.92
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1315.79
Request Count,413.00
Request Throughput (requests/sec),6.89
Total Input Sequence Length (tokens),96186.00
Total Output Sequence Length (tokens),78845.00
Total Output Tokens (tokens),78845.00
Total Token Throughput (tokens/sec),2920.96
Total Usage Completion Tokens (tokens),78845.00
Total Usage Prompt Tokens (tokens),96186.00
Total Usage Total Tokens (tokens),175031.00
