Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),69.79,44.08,72.34,90167.35,50.17,57.37,69.91,70.60,70.96,71.27,71.51,71.64,71.91,4.50
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,201.14,40.00,325.00,259874.00,92.78,120.00,138.00,163.00,201.00,235.00,264.00,283.00,294.00,49.05
HTTP Chunks Sent,1.00,1.00,1.00,1292.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.81,9.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.07
HTTP Connection Overhead (ms),0.01,0.00,0.81,9.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.07
HTTP Connection Reused (ratio),0.99,0.00,1.00,1276.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.11
HTTP Data Received (KB),51.39,10.69,82.75,66400.02,24.01,30.95,35.48,41.74,51.40,59.94,67.25,72.07,74.76,12.38
HTTP Data Sent (KB),1.05,0.54,1.53,1350.96,0.57,0.69,0.75,0.90,1.07,1.20,1.29,1.36,1.47,0.20
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2894.34,588.89,5820.97,3739490.43,1323.10,1711.26,1974.68,2314.81,2860.52,3384.87,3809.10,4054.90,4617.61,735.62
HTTP Receiving (ms),2823.61,547.92,5083.46,3648099.18,1274.36,1663.07,1929.12,2268.10,2801.09,3304.92,3738.05,3983.07,4505.55,707.45
HTTP Sending (ms),0.17,0.12,0.95,215.17,0.13,0.13,0.14,0.14,0.15,0.17,0.19,0.24,0.73,0.08
HTTP Total Time (ms),2894.35,588.89,5820.97,3739500.14,1323.16,1711.26,1974.68,2314.81,2860.52,3384.87,3809.10,4054.90,4617.61,735.62
HTTP Waiting (TTFB) (ms),70.57,33.65,1022.77,91176.08,35.36,38.20,39.10,40.22,42.82,45.22,52.93,92.51,898.58,134.46
Input Sequence Length (tokens),235.65,116.00,337.00,304464.00,127.83,158.00,169.00,202.00,235.00,272.00,295.00,301.25,333.36,46.65
Inter Chunk Latency (ms),14.15,0.00,160.00,3647881.02,10.47,11.52,11.87,12.43,13.07,14.93,17.77,18.36,26.90,4.66
Inter Token Latency (ms),14.11,12.93,19.76,18225.75,13.71,13.81,13.84,13.89,13.95,14.01,14.10,15.31,18.04,0.72
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),201.18,40.00,325.00,259920.00,92.78,120.00,138.00,163.00,201.00,235.00,264.00,283.00,294.00,49.06
Output Token Count (tokens),201.18,40.00,325.00,259920.00,92.78,120.00,138.00,163.00,201.00,235.00,264.00,283.00,294.00,49.06
Output Token Throughput Per User (tokens/sec/user),71.04,50.61,77.37,91781.19,55.44,65.33,70.91,71.37,71.71,72.01,72.27,72.40,72.96,2.94
Prefill Throughput Per User (tokens/sec/user),5212.05,153.93,9846.55,6733970.79,272.00,2355.75,3498.24,4526.97,5376.99,6167.14,6936.55,7309.60,8395.46,1589.85
Request Latency (ms),2894.23,588.94,5821.08,3739344.87,1323.16,1711.31,1974.73,2314.86,2860.57,3384.92,3808.76,4054.95,4617.67,735.43
Time to First Output Token (ms),70.79,33.84,1023.20,91463.85,35.58,38.41,39.33,40.44,43.02,45.42,53.13,92.97,898.95,134.50
Time to First Token (ms),70.79,33.84,1023.20,91463.85,35.58,38.41,39.33,40.44,43.02,45.42,53.13,92.97,898.95,134.50
Time to Second Token (ms),19.30,0.00,155.89,24937.32,10.20,11.27,11.59,12.15,12.88,15.99,17.91,29.26,145.40,26.39
Usage Completion Tokens (tokens),201.18,40.00,325.00,259920.00,92.78,120.00,138.00,163.00,201.00,235.00,264.00,283.00,294.00,49.06
Usage Prompt Tokens (tokens),235.65,116.00,337.00,304464.00,127.83,158.00,169.00,202.00,235.00,272.00,295.00,301.25,333.36,46.65
Usage Total Tokens (tokens),436.83,279.00,613.00,564384.00,279.00,333.00,356.00,390.00,432.00,485.00,518.00,541.00,583.00,64.28

Metric,Value
Benchmark Duration (sec),59.95
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),4335.47
Request Count,1292.00
Request Throughput (requests/sec),21.55
Total Input Sequence Length (tokens),304464.00
Total Output Sequence Length (tokens),259920.00
Total Output Tokens (tokens),259920.00
Total Token Throughput (tokens/sec),9413.94
Total Usage Completion Tokens (tokens),259920.00
Total Usage Prompt Tokens (tokens),304464.00
Total Usage Total Tokens (tokens),564384.00
