Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),91.42,89.66,92.70,9782.19,89.99,90.31,90.57,91.06,91.44,91.83,92.30,92.47,92.62,0.63
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,201.75,90.00,297.00,21587.00,111.18,125.30,145.80,169.00,204.00,235.50,258.00,274.80,294.10,45.40
HTTP Chunks Sent,1.00,1.00,1.00,107.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,107.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),51.52,23.30,75.63,5513.10,28.62,32.24,37.37,43.28,52.08,60.00,65.60,69.97,74.98,11.47
HTTP Data Sent (KB),0.98,0.43,1.63,104.89,0.54,0.62,0.70,0.81,1.00,1.13,1.25,1.32,1.42,0.22
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2206.17,992.62,3219.09,236060.09,1234.97,1383.80,1588.98,1855.82,2225.37,2569.70,2835.28,2988.46,3203.71,491.83
HTTP Receiving (ms),2167.23,951.20,3177.94,231893.36,1199.80,1347.89,1557.59,1814.29,2187.00,2536.59,2793.80,2949.63,3161.12,491.05
HTTP Sending (ms),0.14,0.12,0.30,15.06,0.12,0.12,0.12,0.13,0.13,0.15,0.16,0.17,0.20,0.02
HTTP Total Time (ms),2206.17,992.62,3219.09,236060.09,1234.97,1383.80,1588.98,1855.82,2225.37,2569.70,2835.28,2988.46,3203.71,491.83
HTTP Waiting (TTFB) (ms),38.80,28.45,73.35,4151.67,29.63,30.14,31.82,34.01,39.33,40.36,42.96,46.54,72.59,7.40
Input Sequence Length (tokens),222.24,86.00,359.00,23780.00,114.18,136.20,162.60,181.00,230.00,257.50,275.40,296.90,336.84,50.30
Inter Chunk Latency (ms),10.83,5.54,48.94,231815.99,9.02,9.93,10.14,10.43,10.68,10.94,11.31,11.62,18.98,1.45
Inter Token Latency (ms),10.79,10.66,10.97,1154.68,10.67,10.70,10.70,10.76,10.79,10.83,10.87,10.89,10.94,0.06
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),201.75,90.00,297.00,21587.00,111.18,125.30,145.80,169.00,204.00,235.50,258.00,274.80,294.10,45.40
Output Token Count (tokens),201.75,90.00,297.00,21587.00,111.18,125.30,145.80,169.00,204.00,235.50,258.00,274.80,294.10,45.40
Output Token Throughput Per User (tokens/sec/user),92.67,91.14,93.85,9915.58,91.43,91.85,92.00,92.33,92.65,92.98,93.43,93.48,93.70,0.52
Prefill Throughput Per User (tokens/sec/user),5751.33,2374.14,8970.17,615392.68,2779.50,3731.56,4277.83,5100.16,5776.47,6459.94,6906.24,7491.62,8711.47,1171.83
Request Latency (ms),2205.50,992.67,3219.13,235988.29,1235.01,1383.84,1589.02,1855.86,2225.41,2569.75,2835.32,2988.51,3182.99,491.33
Time to First Output Token (ms),38.99,28.66,73.58,4172.30,29.85,30.35,32.00,34.19,39.51,40.54,43.15,46.73,72.80,7.41
Time to First Token (ms),38.99,28.66,73.58,4172.30,29.85,30.35,32.00,34.19,39.51,40.54,43.15,46.73,72.80,7.41
Time to Second Token (ms),11.06,7.50,45.19,1183.36,8.79,9.39,9.90,10.17,10.51,10.79,11.20,11.71,27.29,3.88
Usage Completion Tokens (tokens),201.75,90.00,297.00,21587.00,111.18,125.30,145.80,169.00,204.00,235.50,258.00,274.80,294.10,45.40
Usage Prompt Tokens (tokens),222.24,86.00,359.00,23780.00,114.18,136.20,162.60,181.00,230.00,257.50,275.40,296.90,336.84,50.30
Usage Total Tokens (tokens),423.99,268.00,596.00,45367.00,280.42,293.60,324.80,381.50,422.00,482.00,510.80,550.10,564.94,72.91

Metric,Value
Benchmark Duration (sec),59.26
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),364.29
Request Count,107.00
Request Throughput (requests/sec),1.81
Total Input Sequence Length (tokens),23780.00
Total Output Sequence Length (tokens),21587.00
Total Output Tokens (tokens),21587.00
Total Token Throughput (tokens/sec),765.60
Total Usage Completion Tokens (tokens),21587.00
Total Usage Prompt Tokens (tokens),23780.00
Total Usage Total Tokens (tokens),45367.00
