Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),7.04,3.70,30.64,3877.12,4.30,4.88,5.01,5.29,5.62,6.19,9.82,15.33,29.46,4.66
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,495.82,315.00,644.00,273199.00,382.00,426.50,442.00,462.00,493.00,522.50,560.00,585.50,620.00,50.41
HTTP Chunks Sent,1.00,1.00,1.00,551.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.06,0.00,2.64,34.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,1.43,0.29
HTTP Connection Overhead (ms),0.06,0.00,2.64,34.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,1.43,0.29
HTTP Connection Reused (ratio),0.94,0.00,1.00,520.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.23
HTTP Data Received (KB),125.79,80.24,163.47,69310.62,97.05,108.32,112.05,117.24,125.03,132.60,141.99,148.21,157.40,12.74
HTTP Data Sent (KB),15.05,11.70,19.36,8291.01,12.61,12.98,13.25,14.04,15.06,16.07,16.81,17.15,17.96,1.35
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),81823.07,13649.90,101375.61,45084511.86,16520.84,31811.32,48958.08,87210.86,89094.98,90666.52,92083.29,93032.17,96201.60,19017.92
HTTP Receiving (ms),14595.59,7757.38,22263.96,8042168.17,10287.46,11876.18,12552.88,13362.53,14578.84,15637.75,16853.75,17712.17,19881.00,1873.89
HTTP Sending (ms),0.27,0.13,2.95,148.87,0.14,0.14,0.15,0.15,0.17,0.22,0.34,0.89,1.73,0.33
HTTP Total Time (ms),81823.13,13649.90,101376.40,45084546.02,16520.84,31811.32,48958.08,87210.86,89094.98,90666.52,92083.29,93032.17,96201.60,19017.94
HTTP Waiting (TTFB) (ms),67227.21,352.24,84809.47,37042194.82,1975.67,17191.95,34850.64,74019.59,74972.71,75563.95,76185.59,76793.75,80421.81,19101.95
Input Sequence Length (tokens),3540.92,2914.00,4560.00,1951047.00,2978.00,3051.00,3158.00,3348.00,3533.00,3750.50,3941.00,4060.00,4161.00,300.79
Inter Chunk Latency (ms),29.60,0.00,8084.64,8042090.20,15.24,16.56,17.07,17.59,18.05,18.58,19.86,167.72,175.27,45.15
Inter Token Latency (ms),29.45,24.68,48.43,16228.56,25.57,26.89,27.77,28.56,29.36,30.15,31.22,31.69,34.05,1.75
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),495.88,315.00,644.00,273228.00,382.00,426.50,442.00,462.00,493.00,523.00,560.00,585.50,620.00,50.42
Output Token Count (tokens),495.88,315.00,644.00,273228.00,382.00,426.50,442.00,462.00,493.00,523.00,560.00,585.50,620.00,50.42
Output Token Throughput Per User (tokens/sec/user),34.06,20.65,40.51,18767.69,29.37,31.55,32.03,33.17,34.06,35.01,36.01,37.19,39.11,1.86
Prefill Throughput Per User (tokens/sec/user),130.26,36.26,9892.43,71774.29,39.45,40.75,42.24,45.10,47.88,52.58,99.14,206.20,1912.37,554.67
Request Latency (ms),81823.00,13650.01,101375.70,45084470.80,16520.91,31811.42,48958.14,87210.93,89095.05,90666.57,92083.34,93032.24,96201.66,19017.85
Time to First Output Token (ms),67227.55,352.49,84810.55,37042380.60,1976.01,17192.25,34850.97,74019.81,74972.90,75564.56,76185.84,76793.96,80423.05,19101.92
Time to First Token (ms),67227.55,352.49,84810.55,37042380.60,1976.01,17192.25,34850.97,74019.81,74972.90,75564.56,76185.84,76793.96,80423.05,19101.92
Time to Second Token (ms),58.72,5.75,1205.73,32355.53,12.96,15.00,15.32,15.81,16.38,152.40,172.89,174.81,178.51,85.89
Usage Completion Tokens (tokens),495.88,315.00,644.00,273228.00,382.00,426.50,442.00,462.00,493.00,523.00,560.00,585.50,620.00,50.42
Usage Prompt Tokens (tokens),3540.92,2914.00,4560.00,1951047.00,2978.00,3051.00,3158.00,3348.00,3533.00,3750.50,3941.00,4060.00,4161.00,300.79
Usage Total Tokens (tokens),4036.80,3293.00,5028.00,2224275.00,3454.00,3553.00,3653.00,3816.00,4046.00,4243.50,4449.00,4540.00,4715.00,307.52

Metric,Value
Benchmark Duration (sec),396.72
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),688.71
Request Count,551.00
Request Throughput (requests/sec),1.39
Total Input Sequence Length (tokens),1951047.00
Total Output Sequence Length (tokens),273228.00
Total Output Tokens (tokens),273228.00
Total Token Throughput (tokens/sec),5606.62
Total Usage Completion Tokens (tokens),273228.00
Total Usage Prompt Tokens (tokens),1951047.00
Total Usage Total Tokens (tokens),2224275.00
