Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),51.92,43.27,64.06,19935.96,45.54,47.85,48.56,49.93,51.29,53.44,55.85,59.26,61.94,3.26
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.48,62.00,128.00,48568.00,93.79,120.15,127.00,128.00,128.00,128.00,128.00,128.00,128.00,6.92
HTTP Chunks Sent,1.00,1.00,1.00,384.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,384.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.57,16.22,33.12,12507.73,24.30,30.96,32.79,32.91,32.95,32.98,33.01,33.03,33.07,1.75
HTTP Data Sent (KB),4.07,0.69,10.69,1562.24,1.33,1.72,2.01,2.62,3.70,5.01,6.93,7.91,9.60,1.90
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),2449.37,980.43,2957.89,940557.25,1708.45,2065.69,2185.79,2385.81,2491.38,2561.74,2632.43,2667.89,2791.31,200.67
HTTP Receiving (ms),2284.94,897.23,2638.68,877415.98,1439.25,1975.93,2041.00,2171.35,2338.61,2418.60,2477.16,2510.15,2574.54,202.87
HTTP Sending (ms),0.15,0.12,0.43,56.77,0.12,0.13,0.13,0.13,0.14,0.16,0.17,0.19,0.27,0.03
HTTP Total Time (ms),2449.37,980.43,2957.89,940557.25,1708.45,2065.69,2185.79,2385.81,2491.38,2561.74,2632.43,2667.89,2791.31,200.67
HTTP Waiting (TTFB) (ms),164.28,47.64,848.40,63084.50,49.59,60.18,67.95,83.87,123.71,185.08,318.00,441.06,739.93,133.75
Input Sequence Length (tokens),885.19,155.00,2387.00,339913.00,277.24,370.60,432.30,565.00,808.00,1065.00,1527.90,1752.70,2027.35,417.43
Inter Chunk Latency (ms),18.20,0.00,152.87,876229.62,10.46,11.20,11.51,11.90,12.28,12.73,24.75,64.34,124.44,20.66
Inter Token Latency (ms),18.17,14.14,20.78,6978.95,15.14,16.05,16.33,17.44,18.46,19.10,19.54,19.79,20.30,1.22
OSL Mismatch Diff % (%),-1.18,-51.56,0.00,-454.69,-26.73,-6.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.41
Output Sequence Length (tokens),126.48,62.00,128.00,48570.00,93.79,120.15,128.00,128.00,128.00,128.00,128.00,128.00,128.00,6.92
Output Token Count (tokens),126.48,62.00,128.00,48570.00,93.79,120.15,128.00,128.00,128.00,128.00,128.00,128.00,128.00,6.92
Output Token Throughput Per User (tokens/sec/user),55.29,48.13,70.74,21229.99,49.25,50.53,51.18,52.36,54.17,57.35,61.25,62.31,66.04,3.93
Prefill Throughput Per User (tokens/sec/user),6987.86,669.05,12359.50,2683336.94,918.30,1684.57,2268.72,4315.72,7651.95,9486.55,10788.20,11635.18,12112.42,3161.69
Request Latency (ms),2446.33,967.86,2957.95,939392.59,1696.19,2064.95,2168.91,2385.11,2490.53,2561.79,2632.48,2667.95,2791.36,205.11
Time to First Output Token (ms),164.49,47.83,848.76,63162.97,49.80,60.37,68.16,84.05,123.95,185.26,318.19,441.30,740.13,133.76
Time to First Token (ms),164.49,47.83,848.76,63162.97,49.80,60.37,68.16,84.05,123.95,185.26,318.19,441.30,740.13,133.76
Time to Second Token (ms),34.42,1.79,151.65,13216.27,9.97,10.44,10.72,11.23,11.76,42.06,115.24,145.63,148.24,42.32
Usage Completion Tokens (tokens),126.48,62.00,128.00,48570.00,93.79,120.15,128.00,128.00,128.00,128.00,128.00,128.00,128.00,6.92
Usage Prompt Tokens (tokens),885.19,155.00,2387.00,339913.00,277.24,370.60,432.30,565.00,808.00,1065.00,1527.90,1752.70,2027.35,417.43
Usage Total Tokens (tokens),1011.67,217.00,2515.00,388483.00,381.66,497.75,560.30,692.50,936.00,1193.00,1655.90,1880.70,2155.35,419.26

Metric,Value
Benchmark Duration (sec),59.72
OSL Mismatch Count,21.00
Output Token Throughput (tokens/sec),813.34
Request Count,384.00
Request Throughput (requests/sec),6.43
Total Input Sequence Length (tokens),339913.00
Total Output Sequence Length (tokens),48570.00
Total Output Tokens (tokens),48570.00
Total Token Throughput (tokens/sec),6505.42
Total Usage Completion Tokens (tokens),48570.00
Total Usage Prompt Tokens (tokens),339913.00
Total Usage Total Tokens (tokens),388483.00
