Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),94.38,88.41,98.53,4152.87,88.82,90.42,91.73,92.82,94.80,96.10,97.17,97.73,98.24,2.29
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.75,102.00,128.00,5577.00,104.15,121.20,128.00,128.00,128.00,128.00,128.00,128.00,128.00,5.03
HTTP Chunks Sent,1.00,1.00,1.00,44.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,44.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.65,26.33,33.20,1436.48,26.89,31.21,32.89,32.94,32.96,32.97,33.01,33.03,33.13,1.28
HTTP Data Sent (KB),4.39,1.51,9.86,192.98,1.57,1.71,2.11,2.87,3.92,5.93,6.89,7.96,9.45,2.02
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1344.74,1066.82,1447.76,59168.48,1081.92,1239.97,1311.52,1331.87,1350.10,1378.94,1395.40,1415.57,1441.06,67.72
HTTP Receiving (ms),1271.43,1018.44,1291.71,55942.75,1039.34,1210.02,1278.15,1282.39,1283.90,1285.85,1287.78,1290.73,1291.59,51.89
HTTP Sending (ms),0.13,0.12,0.17,5.87,0.12,0.12,0.12,0.12,0.13,0.14,0.15,0.16,0.17,0.01
HTTP Total Time (ms),1344.74,1066.82,1447.76,59168.48,1081.92,1239.97,1311.52,1331.87,1350.10,1378.94,1395.40,1415.57,1441.06,67.72
HTTP Waiting (TTFB) (ms),73.18,28.97,155.88,3219.86,29.30,30.87,37.23,52.36,65.88,94.37,109.12,125.25,149.33,29.90
Input Sequence Length (tokens),951.11,331.00,2088.00,41849.00,340.03,358.30,447.30,634.00,843.00,1232.00,1489.70,1715.95,2026.08,431.79
Inter Chunk Latency (ms),10.11,1.57,19.34,55914.07,8.49,9.45,9.68,9.92,10.10,10.30,10.58,10.82,11.67,0.55
Inter Token Latency (ms),10.10,9.97,10.17,444.59,9.98,10.01,10.06,10.10,10.11,10.12,10.14,10.16,10.17,0.04
OSL Mismatch Diff % (%),-0.98,-20.31,0.00,-42.97,-18.63,-5.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.93
Output Sequence Length (tokens),126.75,102.00,128.00,5577.00,104.15,121.20,128.00,128.00,128.00,128.00,128.00,128.00,128.00,5.03
Output Token Count (tokens),126.75,102.00,128.00,5577.00,104.15,121.20,128.00,128.00,128.00,128.00,128.00,128.00,128.00,5.03
Output Token Throughput Per User (tokens/sec/user),98.97,98.32,100.27,4354.62,98.33,98.39,98.62,98.77,98.92,99.03,99.36,99.92,100.23,0.40
Prefill Throughput Per User (tokens/sec/user),12705.45,10790.23,13811.54,559040.00,10904.42,11202.61,11783.45,12204.70,12805.76,13311.12,13718.22,13776.43,13808.77,773.43
Request Latency (ms),1344.14,1055.71,1447.81,59142.09,1072.52,1231.41,1311.57,1331.92,1350.15,1378.98,1395.45,1415.62,1441.11,69.76
Time to First Output Token (ms),73.36,29.15,156.12,3228.01,29.49,31.06,37.41,52.54,66.07,94.55,109.32,125.43,149.54,29.90
Time to First Token (ms),73.36,29.15,156.12,3228.01,29.49,31.06,37.41,52.54,66.07,94.55,109.32,125.43,149.54,29.90
Time to Second Token (ms),9.08,5.35,10.28,399.49,5.96,7.72,8.31,8.97,9.19,9.59,9.80,9.92,10.20,0.86
Usage Completion Tokens (tokens),126.75,102.00,128.00,5577.00,104.15,121.20,128.00,128.00,128.00,128.00,128.00,128.00,128.00,5.03
Usage Prompt Tokens (tokens),951.11,331.00,2088.00,41849.00,340.03,358.30,447.30,634.00,843.00,1232.00,1489.70,1715.95,2026.08,431.79
Usage Total Tokens (tokens),1077.86,451.00,2216.00,47426.00,463.47,483.15,575.30,762.00,971.00,1360.00,1617.70,1843.95,2154.08,433.21

Metric,Value
Benchmark Duration (sec),59.26
OSL Mismatch Count,3.00
Output Token Throughput (tokens/sec),94.11
Request Count,44.00
Request Throughput (requests/sec),0.74
Total Input Sequence Length (tokens),41849.00
Total Output Sequence Length (tokens),5577.00
Total Output Tokens (tokens),5577.00
Total Token Throughput (tokens/sec),800.34
Total Usage Completion Tokens (tokens),5577.00
Total Usage Prompt Tokens (tokens),41849.00
Total Usage Total Tokens (tokens),47426.00
