Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),5.60,3.04,16.08,8324.05,4.19,4.62,5.00,5.07,5.13,5.23,6.08,9.68,14.52,1.74
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.46,73.00,128.00,188045.00,95.00,117.00,127.60,128.00,128.00,128.00,128.00,128.00,128.00,6.06
HTTP Chunks Sent,1.00,1.00,1.00,1487.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.84,2.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Overhead (ms),0.00,0.00,0.84,2.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Reused (ratio),1.00,0.00,1.00,1483.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),32.57,19.03,33.12,48427.24,24.58,30.16,32.77,32.91,32.95,32.98,33.01,33.03,33.07,1.53
HTTP Data Sent (KB),4.13,0.95,10.92,6136.23,1.31,1.67,2.00,2.69,3.82,5.15,6.77,7.80,9.65,1.87
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),23673.04,6909.92,30533.28,35201806.26,8792.39,13218.42,20386.64,23977.12,24895.96,25157.73,25420.70,25642.13,29551.39,3685.36
HTTP Receiving (ms),7858.78,3108.61,10560.92,11686012.29,4511.34,6811.93,7661.20,7843.54,7936.31,8031.03,8075.69,8241.66,10073.53,718.60
HTTP Sending (ms),0.20,0.10,5.34,291.02,0.13,0.13,0.14,0.14,0.15,0.19,0.25,0.34,0.93,0.20
HTTP Total Time (ms),23673.04,6909.92,30533.28,35201809.00,8792.39,13218.42,20386.64,23977.12,24895.96,25157.73,25420.70,25642.13,29551.39,3685.36
HTTP Waiting (TTFB) (ms),15814.06,165.64,22686.47,23515502.96,1204.85,5480.80,13375.32,16292.94,16959.03,17216.61,17477.28,17919.70,21727.92,3609.89
Input Sequence Length (tokens),898.30,225.00,2468.00,1335769.00,285.86,361.60,432.00,586.50,825.00,1108.00,1479.40,1727.50,2091.80,412.59
Inter Chunk Latency (ms),62.61,2.32,2393.23,11669814.91,17.23,18.39,18.81,19.46,20.36,160.76,164.99,166.36,168.91,68.83
Inter Token Latency (ms),62.49,32.06,89.62,92919.09,43.55,57.37,60.43,61.79,62.51,63.27,63.65,68.23,80.51,4.76
OSL Mismatch Diff % (%),-1.20,-42.97,0.00,-1789.84,-25.78,-8.59,-0.31,0.00,0.00,0.00,0.00,0.00,0.00,4.73
Output Sequence Length (tokens),126.46,73.00,128.00,188045.00,95.00,117.00,127.60,128.00,128.00,128.00,128.00,128.00,128.00,6.06
Output Token Count (tokens),126.46,73.00,128.00,188045.00,95.00,117.00,127.60,128.00,128.00,128.00,128.00,128.00,128.00,6.06
Output Token Throughput Per User (tokens/sec/user),16.11,11.16,31.19,23951.57,12.42,14.66,15.71,15.81,16.00,16.18,16.55,17.43,22.97,1.44
Prefill Throughput Per User (tokens/sec/user),87.76,12.62,9977.52,130499.46,16.39,21.21,25.68,35.89,51.53,73.57,108.58,157.06,774.02,316.72
Request Latency (ms),23662.20,6888.63,30533.31,35185695.00,8658.02,13218.48,20326.35,23954.76,24894.85,25157.46,25420.75,25642.19,29551.43,3688.55
Time to First Output Token (ms),15814.31,165.87,22686.94,23515880.08,1205.23,5481.29,13375.72,16293.16,16959.22,17216.83,17477.48,17920.04,21728.11,3609.87
Time to First Token (ms),15814.31,165.87,22686.94,23515880.08,1205.23,5481.29,13375.72,16293.16,16959.22,17216.83,17477.48,17920.04,21728.11,3609.87
Time to Second Token (ms),162.21,6.91,2239.01,241209.94,19.14,123.54,153.61,162.04,163.82,165.30,167.02,167.99,170.85,94.85
Usage Completion Tokens (tokens),126.46,73.00,128.00,188045.00,95.00,117.00,127.60,128.00,128.00,128.00,128.00,128.00,128.00,6.06
Usage Prompt Tokens (tokens),898.30,225.00,2468.00,1335769.00,285.86,361.60,432.00,586.50,825.00,1108.00,1479.40,1727.50,2091.80,412.59
Usage Total Tokens (tokens),1024.76,318.00,2596.00,1523814.00,393.30,485.30,555.60,712.00,952.00,1236.00,1607.40,1855.50,2219.80,414.34

Metric,Value
Benchmark Duration (sec),148.88
OSL Mismatch Count,108.00
Output Token Throughput (tokens/sec),1263.05
Request Count,1487.00
Request Throughput (requests/sec),9.99
Total Input Sequence Length (tokens),1335769.00
Total Output Sequence Length (tokens),188045.00
Total Output Tokens (tokens),188045.00
Total Token Throughput (tokens/sec),10235.07
Total Usage Completion Tokens (tokens),188045.00
Total Usage Prompt Tokens (tokens),1335769.00
Total Usage Total Tokens (tokens),1523814.00
