Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),25.61,21.16,28.38,48766.20,23.56,24.83,25.02,25.33,25.67,25.94,26.22,26.45,26.82,0.58
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,192.82,82.00,330.00,367130.00,82.03,102.00,122.00,152.00,201.00,233.00,256.00,264.00,290.00,50.18
HTTP Chunks Sent,1.00,1.00,1.00,1904.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.94,3.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Overhead (ms),0.00,0.00,0.94,3.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Reused (ratio),1.00,0.00,1.00,1900.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),49.29,21.33,83.80,93852.88,21.34,26.35,31.39,38.99,51.42,59.34,65.19,67.34,74.00,12.66
HTTP Data Sent (KB),1.04,0.54,1.59,1985.22,0.66,0.68,0.75,0.88,1.02,1.19,1.38,1.48,1.55,0.23
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7521.79,3047.41,13025.98,14321483.49,3279.94,4249.10,4811.45,5981.87,7823.23,9029.35,9869.89,10330.32,11399.71,1931.02
HTTP Receiving (ms),7218.35,2062.27,12910.66,13743738.23,3072.37,3872.86,4442.97,5647.91,7528.17,8712.40,9549.56,10130.45,11247.10,1968.81
HTTP Sending (ms),0.20,0.11,7.03,386.94,0.13,0.14,0.14,0.15,0.18,0.23,0.27,0.32,0.43,0.17
HTTP Total Time (ms),7521.79,3047.41,13025.98,14321487.08,3279.94,4249.10,4811.45,5981.87,7823.23,9029.35,9869.89,10330.32,11399.71,1931.02
HTTP Waiting (TTFB) (ms),303.23,79.54,1815.84,577358.32,92.94,97.31,108.09,113.62,126.63,132.00,1221.84,1809.45,1813.04,500.44
Input Sequence Length (tokens),233.24,119.00,355.00,444092.00,135.00,152.00,166.00,193.00,225.00,272.00,309.00,328.00,354.79,53.36
Inter Chunk Latency (ms),37.77,0.00,154.57,13742357.88,22.48,24.50,25.27,26.94,42.36,44.31,45.64,46.57,52.60,10.29
Inter Token Latency (ms),37.58,25.45,40.11,71544.53,27.99,31.23,33.36,37.78,38.34,38.81,39.22,39.39,39.63,2.47
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),192.83,82.00,330.00,367146.00,82.03,102.00,122.00,152.00,201.00,233.00,256.00,264.00,290.00,50.18
Output Token Count (tokens),192.83,82.00,330.00,367146.00,82.03,102.00,122.00,152.00,201.00,233.00,256.00,264.00,290.00,50.18
Output Token Throughput Per User (tokens/sec/user),26.75,24.93,39.30,50935.86,25.24,25.39,25.49,25.76,26.08,26.47,29.97,32.02,35.73,2.13
Prefill Throughput Per User (tokens/sec/user),1721.52,65.68,4015.12,3277778.79,93.41,128.73,195.93,1430.83,1809.03,2196.09,2559.52,2744.13,3178.38,748.26
Request Latency (ms),7521.13,3047.47,13026.05,14320222.64,3279.99,4249.15,4811.50,5981.95,7823.29,9026.13,9867.92,10330.41,11399.79,1930.47
Time to First Output Token (ms),303.50,79.84,1816.10,577864.76,93.20,97.59,108.41,113.89,126.91,132.23,1222.06,1809.80,1813.32,500.45
Time to First Token (ms),303.50,79.84,1816.10,577864.76,93.20,97.59,108.41,113.89,126.91,132.23,1222.06,1809.80,1813.32,500.45
Time to Second Token (ms),41.50,7.00,154.37,79008.89,12.00,12.93,23.38,26.61,42.22,44.41,46.42,138.92,148.07,26.52
Usage Completion Tokens (tokens),192.83,82.00,330.00,367146.00,82.03,102.00,122.00,152.00,201.00,233.00,256.00,264.00,290.00,50.18
Usage Prompt Tokens (tokens),233.24,119.00,355.00,444092.00,135.00,152.00,166.00,193.00,225.00,272.00,309.00,328.00,354.79,53.36
Usage Total Tokens (tokens),426.07,259.00,611.00,811238.00,289.00,302.00,337.00,377.00,425.00,478.00,516.00,549.00,607.00,71.73

Metric,Value
Benchmark Duration (sec),59.97
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),6122.27
Request Count,1904.00
Request Throughput (requests/sec),31.75
Total Input Sequence Length (tokens),444092.00
Total Output Sequence Length (tokens),367146.00
Total Output Tokens (tokens),367146.00
Total Token Throughput (tokens/sec),13527.64
Total Usage Completion Tokens (tokens),367146.00
Total Usage Prompt Tokens (tokens),444092.00
Total Usage Total Tokens (tokens),811238.00
