Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),4.31,2.12,30.96,3652.00,2.20,2.37,2.46,2.68,2.91,3.25,6.74,12.60,28.32,4.52
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,494.00,380.00,630.00,418913.00,382.47,413.00,423.40,455.00,502.50,534.00,556.00,564.00,590.00,49.93
HTTP Chunks Sent,1.00,1.00,1.00,848.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,3.75,155.81,0.00,0.00,0.00,0.00,0.00,0.00,0.83,1.17,2.32,0.48
HTTP Connection Overhead (ms),0.19,0.00,3.75,157.47,0.00,0.00,0.00,0.00,0.00,0.00,0.83,1.17,2.41,0.49
HTTP Connection Reused (ratio),0.84,0.00,1.00,712.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),125.40,96.91,159.93,106339.25,97.20,104.48,107.63,115.72,127.66,135.38,141.01,143.19,149.76,12.63
HTTP Data Sent (KB),15.10,11.71,18.58,12803.07,12.36,12.77,13.08,14.07,15.16,15.88,17.23,17.61,18.50,1.45
HTTP DNS Lookup (ms),0.00,0.00,0.84,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Duration (excl. conn) (ms),154131.63,13406.14,189269.53,130703624.35,16929.84,40154.90,70081.52,158239.85,176397.03,178506.53,180027.71,180958.25,183215.22,45472.83
HTTP Receiving (ms),14504.03,9147.97,20917.82,12299420.08,10775.54,11853.15,12349.72,13416.12,14610.78,15614.25,16346.59,16796.53,18468.18,1611.75
HTTP Sending (ms),0.45,0.14,4.17,380.54,0.14,0.15,0.16,0.17,0.22,0.30,1.19,1.64,2.72,0.56
HTTP Total Time (ms),154131.82,13406.14,189270.28,130703781.82,16929.84,40154.90,70081.52,158240.93,176397.03,178506.53,180027.71,180958.25,183216.13,45472.78
HTTP Waiting (TTFB) (ms),139627.15,363.59,174686.92,118403823.73,2738.15,22849.28,54944.25,143778.09,162430.19,163779.73,164846.28,165547.42,168364.01,45530.40
Input Sequence Length (tokens),3521.13,2834.00,4252.00,2985920.00,2935.00,3032.00,3119.10,3273.00,3477.00,3752.00,3975.00,4088.65,4232.73,320.90
Inter Chunk Latency (ms),29.51,0.00,5916.57,12299092.12,14.75,16.41,16.91,17.53,18.08,18.66,20.25,163.29,174.76,40.98
Inter Token Latency (ms),29.40,23.88,41.50,24933.54,26.79,27.60,27.98,28.65,29.34,30.03,30.83,31.25,32.77,1.31
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),494.22,382.00,630.00,419100.00,382.47,413.00,424.10,455.75,503.00,534.00,556.00,564.00,590.00,49.97
Output Token Count (tokens),494.22,382.00,630.00,419100.00,382.47,413.00,424.10,455.75,503.00,534.00,556.00,564.00,590.00,49.97
Output Token Throughput Per User (tokens/sec/user),34.07,24.09,41.87,28895.19,30.51,32.00,32.44,33.30,34.09,34.91,35.74,36.23,37.33,1.46
Prefill Throughput Per User (tokens/sec/user),78.62,17.26,9319.49,66668.07,17.96,18.74,19.47,20.60,22.47,25.61,62.95,142.14,1360.19,433.74
Request Latency (ms),154131.32,13406.23,189269.59,130703360.42,16929.93,40154.95,70081.60,158239.93,176397.09,178506.60,180027.77,180958.54,183215.29,45473.31
Time to First Output Token (ms),139627.67,363.86,174687.88,118404268.30,2738.54,22849.81,54944.54,143780.41,162430.51,163779.97,164846.53,165547.73,168365.50,45530.27
Time to First Token (ms),139627.67,363.86,174687.88,118404268.30,2738.54,22849.81,54944.54,143780.41,162430.51,163779.97,164846.53,165547.73,168365.50,45530.27
Time to Second Token (ms),45.29,0.52,285.69,38406.29,9.96,14.71,15.09,15.59,16.25,17.19,171.13,174.04,178.25,61.22
Usage Completion Tokens (tokens),494.22,382.00,630.00,419100.00,382.47,413.00,424.10,455.75,503.00,534.00,556.00,564.00,590.00,49.97
Usage Prompt Tokens (tokens),3521.13,2834.00,4252.00,2985920.00,2935.00,3032.00,3119.10,3273.00,3477.00,3752.00,3975.00,4088.65,4232.73,320.90
Usage Total Tokens (tokens),4015.35,3274.00,4756.00,3405020.00,3474.00,3526.00,3635.40,3780.00,3943.00,4241.00,4451.20,4581.30,4743.00,322.35

Metric,Value
Benchmark Duration (sec),599.31
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),699.30
Request Count,848.00
Request Throughput (requests/sec),1.41
Total Input Sequence Length (tokens),2985920.00
Total Output Sequence Length (tokens),419100.00
Total Output Tokens (tokens),419100.00
Total Token Throughput (tokens/sec),5681.56
Total Usage Completion Tokens (tokens),419100.00
Total Usage Prompt Tokens (tokens),2985920.00
Total Usage Total Tokens (tokens),3405020.00
