Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),98.36,97.13,98.84,3147.46,97.40,97.98,98.02,98.15,98.38,98.61,98.73,98.75,98.82,0.34
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,182.62,117.00,276.00,5844.00,117.62,121.20,124.60,149.50,187.00,215.25,240.10,245.15,267.63,41.14
HTTP Chunks Sent,1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,32.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),46.72,30.15,70.34,1494.93,30.31,31.23,32.07,38.34,47.82,55.00,61.22,62.52,68.21,10.40
HTTP Data Sent (KB),1.08,0.66,1.52,34.47,0.67,0.74,0.87,0.93,1.06,1.23,1.36,1.42,1.49,0.21
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1856.31,1204.49,2797.45,59401.97,1207.05,1236.16,1267.11,1524.13,1895.49,2187.23,2442.19,2493.98,2715.24,415.98
HTTP Receiving (ms),1830.36,1170.65,2770.58,58571.46,1175.24,1209.59,1245.23,1497.42,1874.73,2161.20,2413.13,2464.57,2687.52,415.75
HTTP Sending (ms),0.13,0.12,0.16,4.09,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.15,0.15,0.01
HTTP Total Time (ms),1856.31,1204.49,2797.45,59401.97,1207.05,1236.16,1267.11,1524.13,1895.49,2187.23,2442.19,2493.98,2715.24,415.98
HTTP Waiting (TTFB) (ms),25.83,20.13,33.71,826.43,20.17,20.37,20.49,21.56,26.56,28.86,29.18,29.42,32.41,3.52
Input Sequence Length (tokens),241.38,151.00,358.00,7724.00,153.48,170.00,196.30,202.50,227.00,277.75,306.30,319.90,349.94,49.91
Inter Chunk Latency (ms),10.11,3.55,30.78,58561.29,8.32,9.39,9.61,9.87,10.06,10.29,10.59,10.86,12.10,0.96
Inter Token Latency (ms),10.07,10.04,10.10,322.40,10.04,10.05,10.05,10.06,10.08,10.09,10.09,10.10,10.10,0.02
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),182.62,117.00,276.00,5844.00,117.62,121.20,124.60,149.50,187.00,215.25,240.10,245.15,267.63,41.14
Output Token Count (tokens),182.62,117.00,276.00,5844.00,117.62,121.20,124.60,149.50,187.00,215.25,240.10,245.15,267.63,41.14
Output Token Throughput Per User (tokens/sec/user),99.26,99.00,99.58,3176.19,99.01,99.06,99.08,99.12,99.25,99.38,99.47,99.53,99.57,0.16
Prefill Throughput Per User (tokens/sec/user),9232.03,7384.56,11548.07,295424.82,7385.88,7589.75,7922.56,8234.66,9467.91,9766.94,10437.07,10531.79,11242.70,1021.42
Request Latency (ms),1856.04,1204.53,2797.49,59393.41,1207.10,1236.21,1267.16,1524.18,1895.54,2187.28,2433.18,2494.03,2715.29,415.52
Time to First Output Token (ms),26.00,20.30,33.89,832.11,20.34,20.54,20.67,21.74,26.73,29.03,29.38,29.59,32.58,3.52
Time to First Token (ms),26.00,20.30,33.89,832.11,20.34,20.54,20.67,21.74,26.73,29.03,29.38,29.59,32.58,3.52
Time to Second Token (ms),9.84,8.67,11.07,314.91,8.68,8.93,9.17,9.55,9.89,10.13,10.24,10.60,11.03,0.52
Usage Completion Tokens (tokens),182.62,117.00,276.00,5844.00,117.62,121.20,124.60,149.50,187.00,215.25,240.10,245.15,267.63,41.14
Usage Prompt Tokens (tokens),241.38,151.00,358.00,7724.00,153.48,170.00,196.30,202.50,227.00,277.75,306.30,319.90,349.94,49.91
Usage Total Tokens (tokens),424.00,303.00,559.00,13568.00,309.82,328.30,334.30,379.75,414.00,476.50,520.50,544.25,555.28,68.02

Metric,Value
Benchmark Duration (sec),59.47
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),98.27
Request Count,32.00
Request Throughput (requests/sec),0.54
Total Input Sequence Length (tokens),7724.00
Total Output Sequence Length (tokens),5844.00
Total Output Tokens (tokens),5844.00
Total Token Throughput (tokens/sec),228.15
Total Usage Completion Tokens (tokens),5844.00
Total Usage Prompt Tokens (tokens),7724.00
Total Usage Total Tokens (tokens),13568.00
