Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),72.50,66.34,75.08,3624.94,67.33,69.61,70.88,71.63,72.72,73.56,74.51,74.90,75.08,1.69
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,500.78,414.00,597.00,25039.00,414.98,425.45,447.00,472.50,505.00,529.75,549.90,575.30,588.67,43.39
HTTP Chunks Sent,1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,50.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),127.01,104.91,151.47,6350.48,105.32,108.00,113.19,119.98,128.24,134.59,139.47,145.95,149.29,10.99
HTTP Data Sent (KB),14.70,12.54,17.25,735.00,12.66,12.88,13.15,13.81,14.60,15.64,16.25,16.37,17.04,1.16
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6907.42,5836.72,7974.36,345371.22,5840.81,5995.61,6088.25,6528.03,6837.72,7273.29,7758.52,7919.77,7964.12,576.05
HTTP Receiving (ms),6578.85,5426.01,7638.89,328942.39,5494.76,5627.80,5760.13,6207.05,6544.92,6974.14,7428.79,7533.19,7630.03,573.02
HTTP Sending (ms),0.14,0.13,0.20,7.20,0.13,0.13,0.13,0.13,0.14,0.15,0.17,0.18,0.19,0.02
HTTP Total Time (ms),6907.42,5836.72,7974.36,345371.22,5840.81,5995.61,6088.25,6528.03,6837.72,7273.29,7758.52,7919.77,7964.12,576.05
HTTP Waiting (TTFB) (ms),328.43,248.67,1044.73,16421.62,250.50,259.42,265.74,276.39,298.17,311.72,327.73,608.47,911.00,137.87
Input Sequence Length (tokens),3448.54,2832.00,4158.00,172427.00,2880.02,3023.25,3126.20,3205.75,3426.00,3666.00,3734.30,3820.65,4038.93,280.50
Inter Chunk Latency (ms),13.20,1.65,283.58,328929.60,9.91,11.00,11.22,11.50,11.75,12.03,12.38,12.68,97.47,13.30
Inter Token Latency (ms),13.17,12.68,14.04,658.25,12.71,12.77,12.82,13.04,13.16,13.28,13.45,13.54,13.84,0.25
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),500.78,414.00,597.00,25039.00,414.98,425.45,447.00,472.50,505.00,529.75,549.90,575.30,588.67,43.39
Output Token Count (tokens),500.78,414.00,597.00,25039.00,414.98,425.45,447.00,472.50,505.00,529.75,549.90,575.30,588.67,43.39
Output Token Throughput Per User (tokens/sec/user),75.99,71.23,78.88,3799.30,72.29,73.84,74.32,75.29,75.99,76.71,78.02,78.28,78.70,1.44
Prefill Throughput Per User (tokens/sec/user),11238.15,3568.68,12002.14,561907.63,4120.11,5939.05,10825.56,11693.80,11829.29,11923.39,11964.15,11986.02,11999.07,1870.78
Request Latency (ms),6907.22,5836.77,7974.41,345361.21,5840.86,5995.67,6088.30,6528.08,6837.76,7273.34,7758.57,7919.82,7964.17,575.91
Time to First Output Token (ms),328.63,248.87,1044.92,16431.60,250.69,259.62,265.93,276.57,298.37,311.92,327.91,608.67,911.21,137.88
Time to First Token (ms),328.63,248.87,1044.92,16431.60,250.69,259.62,265.93,276.57,298.37,311.92,327.91,608.67,911.21,137.88
Time to Second Token (ms),21.59,5.46,157.91,1079.55,7.21,9.22,9.35,9.82,10.28,10.55,11.64,151.24,155.91,38.92
Usage Completion Tokens (tokens),500.78,414.00,597.00,25039.00,414.98,425.45,447.00,472.50,505.00,529.75,549.90,575.30,588.67,43.39
Usage Prompt Tokens (tokens),3448.54,2832.00,4158.00,172427.00,2880.02,3023.25,3126.20,3205.75,3426.00,3666.00,3734.30,3820.65,4038.93,280.50
Usage Total Tokens (tokens),3949.32,3370.00,4670.00,197466.00,3427.82,3524.95,3582.70,3704.00,3958.00,4202.50,4311.90,4336.95,4509.28,290.79

Metric,Value
Benchmark Duration (sec),88.92
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),281.60
Request Count,50.00
Request Throughput (requests/sec),0.56
Total Input Sequence Length (tokens),172427.00
Total Output Sequence Length (tokens),25039.00
Total Output Tokens (tokens),25039.00
Total Token Throughput (tokens/sec),2220.77
Total Usage Completion Tokens (tokens),25039.00
Total Usage Prompt Tokens (tokens),172427.00
Total Usage Total Tokens (tokens),197466.00
