Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),23.59,13.48,32.37,4080.56,14.23,17.07,20.05,21.10,23.51,25.96,27.99,30.10,31.96,3.61
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,498.72,351.00,653.00,86279.00,362.52,394.00,430.20,465.00,505.00,535.00,561.80,572.80,604.12,53.84
HTTP Chunks Sent,1.00,1.00,1.00,173.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.97,5.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.15
HTTP Connection Overhead (ms),0.03,0.00,0.97,5.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.15
HTTP Connection Reused (ratio),0.95,0.00,1.00,165.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.21
HTTP Data Received (KB),126.52,89.20,165.51,21887.58,92.01,100.08,109.17,118.07,128.11,135.70,142.45,144.84,153.15,13.61
HTTP Data Sent (KB),15.18,12.10,18.68,2626.53,12.62,13.26,13.63,14.14,15.11,16.17,16.93,17.30,17.87,1.29
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),21575.56,11939.78,34783.10,3732571.79,13580.45,15552.09,17562.58,19509.46,21273.09,23653.91,25617.79,27533.49,31588.66,3592.34
HTTP Receiving (ms),14023.24,8818.06,21237.29,2426019.67,9744.91,10888.59,11458.02,12766.05,14228.39,15192.88,16005.47,17167.89,18376.93,1914.08
HTTP Sending (ms),0.22,0.13,1.20,37.34,0.13,0.14,0.14,0.14,0.15,0.18,0.28,0.70,1.02,0.19
HTTP Total Time (ms),21575.59,11939.78,34783.10,3732577.55,13580.45,15552.09,17562.58,19509.46,21273.09,23653.91,25617.79,27533.49,31589.19,3592.40
HTTP Waiting (TTFB) (ms),7552.11,321.47,17853.20,1306514.78,850.55,2707.37,4661.81,5782.94,6650.29,9569.01,10011.12,14191.88,17033.71,3101.79
Input Sequence Length (tokens),3573.79,2930.00,4249.00,618265.00,2996.48,3152.00,3242.60,3340.00,3533.00,3786.00,3985.80,4039.00,4157.56,282.28
Inter Chunk Latency (ms),28.27,0.00,5413.93,2425855.30,14.54,15.81,16.25,16.76,17.21,17.73,18.89,161.33,168.86,43.71
Inter Token Latency (ms),28.13,22.86,37.06,4866.82,23.43,25.64,26.30,27.15,27.98,29.00,30.16,31.12,32.51,1.76
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),498.74,351.00,653.00,86282.00,362.52,394.00,430.20,465.00,505.00,535.00,561.80,572.80,604.12,53.84
Output Token Count (tokens),498.74,351.00,653.00,86282.00,362.52,394.00,430.20,465.00,505.00,535.00,561.80,572.80,604.12,53.84
Output Token Throughput Per User (tokens/sec/user),35.68,26.98,43.74,6173.28,30.76,32.13,33.15,34.48,35.73,36.83,38.02,39.00,42.69,2.20
Prefill Throughput Per User (tokens/sec/user),672.45,189.89,10258.53,116334.08,197.96,255.60,334.89,372.12,542.25,632.12,806.60,1409.34,4404.68,938.94
Request Latency (ms),21574.67,11939.83,34783.15,3732417.58,13580.53,15552.17,17546.90,19509.51,21273.15,23653.97,25617.84,27533.56,31588.72,3593.41
Time to First Output Token (ms),7552.38,321.68,17853.85,1306562.28,850.79,2707.69,4662.14,5783.18,6650.47,9569.23,10011.33,14192.56,17034.47,3101.87
Time to First Token (ms),7552.38,321.68,17853.85,1306562.28,850.79,2707.69,4662.14,5783.18,6650.47,9569.23,10011.33,14192.56,17034.47,3101.87
Time to Second Token (ms),61.17,4.34,172.12,10582.25,11.43,14.06,14.40,15.04,15.67,160.30,165.64,167.88,170.05,68.52
Usage Completion Tokens (tokens),498.74,351.00,653.00,86282.00,362.52,394.00,430.20,465.00,505.00,535.00,561.80,572.80,604.12,53.84
Usage Prompt Tokens (tokens),3573.79,2930.00,4249.00,618265.00,2996.48,3152.00,3242.60,3340.00,3533.00,3786.00,3985.80,4039.00,4157.56,282.28
Usage Total Tokens (tokens),4072.53,3484.00,4790.00,704547.00,3489.04,3578.60,3701.00,3843.00,4033.00,4274.00,4493.00,4544.00,4697.84,293.72

Metric,Value
Benchmark Duration (sec),128.67
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),670.59
Request Count,173.00
Request Throughput (requests/sec),1.34
Total Input Sequence Length (tokens),618265.00
Total Output Sequence Length (tokens),86282.00
Total Output Tokens (tokens),86282.00
Total Token Throughput (tokens/sec),5475.82
Total Usage Completion Tokens (tokens),86282.00
Total Usage Prompt Tokens (tokens),618265.00
Total Usage Total Tokens (tokens),704547.00
