Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),91.64,90.84,92.37,1008.03,90.84,90.88,90.92,91.15,91.86,92.01,92.23,92.30,92.36,0.53
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,475.45,419.00,516.00,5230.00,420.10,424.50,430.00,458.00,476.00,500.00,515.00,515.50,515.90,31.08
HTTP Chunks Sent,1.00,1.00,1.00,11.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,11.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),120.64,106.62,130.79,1327.00,106.89,107.96,109.31,116.20,120.88,126.71,130.63,130.71,130.77,7.77
HTTP Data Sent (KB),14.89,14.03,17.19,163.75,14.04,14.06,14.09,14.28,14.48,14.90,16.62,16.90,17.13,1.00
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),5187.69,4585.46,5664.21,57064.61,4599.85,4657.44,4729.43,4992.03,5240.19,5430.61,5586.04,5625.13,5656.39,329.14
HTTP Receiving (ms),4917.89,4326.82,5332.62,54096.78,4339.34,4389.43,4452.05,4733.69,4937.08,5172.44,5332.56,5332.59,5332.62,322.76
HTTP Sending (ms),0.14,0.12,0.16,1.52,0.12,0.12,0.13,0.13,0.13,0.15,0.15,0.16,0.16,0.01
HTTP Total Time (ms),5187.69,4585.46,5664.21,57064.61,4599.85,4657.44,4729.43,4992.03,5240.19,5430.61,5586.04,5625.13,5656.39,329.14
HTTP Waiting (TTFB) (ms),269.66,251.00,331.52,2966.31,251.00,251.03,251.06,253.09,258.49,271.30,302.95,317.23,328.66,24.40
Input Sequence Length (tokens),3512.00,3296.00,4116.00,38632.00,3297.80,3305.00,3314.00,3335.00,3397.00,3527.50,3967.00,4041.50,4101.10,264.89
Inter Chunk Latency (ms),10.40,5.94,31.46,54096.72,8.37,9.67,9.91,10.17,10.35,10.55,10.87,11.15,12.40,0.97
Inter Token Latency (ms),10.37,10.35,10.39,114.02,10.35,10.35,10.35,10.36,10.37,10.37,10.38,10.39,10.39,0.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),475.45,419.00,516.00,5230.00,420.10,424.50,430.00,458.00,476.00,500.00,515.00,515.50,515.90,31.08
Output Token Count (tokens),475.45,419.00,516.00,5230.00,420.10,424.50,430.00,458.00,476.00,500.00,515.00,515.50,515.90,31.08
Output Token Throughput Per User (tokens/sec/user),96.48,96.21,96.61,1061.24,96.23,96.29,96.36,96.43,96.48,96.56,96.61,96.61,96.61,0.11
Prefill Throughput Per User (tokens/sec/user),13030.50,12407.79,13252.84,143335.47,12458.63,12662.00,12916.21,12992.99,13085.72,13147.13,13197.01,13224.93,13247.26,218.49
Request Latency (ms),5187.74,4585.51,5664.28,57065.13,4599.90,4657.49,4729.47,4992.08,5240.23,5430.66,5586.09,5625.18,5656.46,329.14
Time to First Output Token (ms),269.86,251.20,331.73,2968.41,251.20,251.23,251.27,253.28,258.70,271.47,303.15,317.44,328.87,24.41
Time to First Token (ms),269.86,251.20,331.73,2968.41,251.20,251.23,251.27,253.28,258.70,271.47,303.15,317.44,328.87,24.41
Time to Second Token (ms),8.35,7.96,8.60,91.85,7.96,7.98,7.99,8.30,8.35,8.51,8.60,8.60,8.60,0.21
Usage Completion Tokens (tokens),475.45,419.00,516.00,5230.00,420.10,424.50,430.00,458.00,476.00,500.00,515.00,515.50,515.90,31.08
Usage Prompt Tokens (tokens),3512.00,3296.00,4116.00,38632.00,3297.80,3305.00,3314.00,3335.00,3397.00,3527.50,3967.00,4041.50,4101.10,264.89
Usage Total Tokens (tokens),3987.45,3782.00,4631.00,43862.00,3783.90,3791.50,3801.00,3822.50,3860.00,3983.50,4443.00,4537.00,4612.20,271.22

Metric,Value
Benchmark Duration (sec),57.11
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),91.59
Request Count,11.00
Request Throughput (requests/sec),0.19
Total Input Sequence Length (tokens),38632.00
Total Output Sequence Length (tokens),5230.00
Total Output Tokens (tokens),5230.00
Total Token Throughput (tokens/sec),768.09
Total Usage Completion Tokens (tokens),5230.00
Total Usage Prompt Tokens (tokens),38632.00
Total Usage Total Tokens (tokens),43862.00
