Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),3.54,1.08,32.09,2952.44,1.14,1.25,1.32,1.42,1.70,3.18,7.17,12.93,28.34,4.90
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,507.87,387.00,657.00,423564.00,402.66,432.20,441.20,478.00,508.00,539.00,572.00,583.20,643.79,48.84
HTTP Chunks Sent,1.00,1.00,1.00,834.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),96.11,0.00,524.47,80156.94,0.00,0.00,0.00,0.00,0.00,4.44,511.19,515.06,520.85,198.80
HTTP Connection Overhead (ms),96.16,0.00,524.47,80195.33,0.00,0.00,0.00,0.00,0.00,4.63,511.19,515.06,520.85,198.78
HTTP Connection Reused (ratio),0.50,0.00,1.00,418.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),128.87,98.23,166.75,107480.28,102.92,109.91,112.20,121.33,128.76,136.93,145.22,148.02,163.27,12.33
HTTP Data Sent (KB),15.24,12.32,18.33,12708.14,12.45,12.91,13.40,14.27,15.24,16.18,17.12,17.49,17.82,1.35
HTTP DNS Lookup (ms),0.05,0.00,2.97,38.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97,0.30
HTTP Duration (excl. conn) (ms),257509.88,13389.45,375222.83,214763240.27,17244.44,39092.05,71430.17,160477.09,308369.81,358928.89,361295.79,363077.72,367509.66,115409.68
HTTP Receiving (ms),14637.05,9095.85,20789.10,12207300.62,10495.02,12015.84,12563.17,13578.56,14642.88,15677.00,16637.32,17317.92,19053.56,1657.91
HTTP Sending (ms),96.50,0.13,524.83,80481.52,0.14,0.15,0.15,0.16,0.81,5.12,511.71,515.63,521.16,198.86
HTTP Total Time (ms),257606.04,13389.45,375743.56,214843435.60,17244.44,39092.05,71430.17,160480.63,308879.66,358970.96,361301.15,363257.10,368014.76,115460.27
HTTP Waiting (TTFB) (ms),242776.33,378.00,358607.84,202475458.13,2898.20,22886.46,55663.47,145036.39,292838.71,344478.58,346198.93,347875.03,351502.31,115451.04
Input Sequence Length (tokens),3566.56,2937.00,4417.00,2974512.00,2995.00,3071.00,3135.00,3334.00,3564.00,3755.00,4015.20,4119.00,4298.00,316.90
Inter Chunk Latency (ms),28.97,0.00,4645.76,12206723.97,14.61,16.25,16.73,17.32,17.89,18.46,19.66,162.63,174.54,41.29
Inter Token Latency (ms),28.85,22.42,40.26,24058.62,25.05,26.75,27.32,28.07,28.85,29.51,30.34,30.96,32.94,1.47
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),508.08,387.00,657.00,423736.00,405.00,432.85,441.50,478.00,508.00,539.00,572.00,583.20,644.46,48.85
Output Token Count (tokens),508.08,387.00,657.00,423736.00,405.00,432.85,441.50,478.00,508.00,539.00,572.00,583.20,644.46,48.85
Output Token Throughput Per User (tokens/sec/user),34.75,24.84,44.60,28983.81,30.36,32.30,32.96,33.88,34.66,35.63,36.61,37.38,39.93,1.73
Prefill Throughput Per User (tokens/sec/user),72.76,8.22,9556.16,60678.61,8.68,9.12,9.59,10.48,12.35,23.89,66.53,157.85,1142.49,442.97
Request Latency (ms),257509.26,13389.54,375222.92,214762723.45,17244.55,39092.11,71430.22,160477.16,308369.87,358928.95,361295.85,363076.19,367509.73,115409.31
Time to First Output Token (ms),242872.90,378.29,359129.29,202555999.48,2898.77,22886.88,55663.80,145038.18,293350.13,344483.83,346272.37,347980.02,351962.57,115501.16
Time to First Token (ms),242872.90,378.29,359129.29,202555999.48,2898.77,22886.88,55663.80,145038.18,293350.13,344483.83,346272.37,347980.02,351962.57,115501.16
Time to Second Token (ms),54.63,0.00,2059.61,45557.36,12.94,14.27,14.63,15.32,15.99,17.29,171.53,173.73,178.53,99.49
Usage Completion Tokens (tokens),508.08,387.00,657.00,423736.00,405.00,432.85,441.50,478.00,508.00,539.00,572.00,583.20,644.46,48.85
Usage Prompt Tokens (tokens),3566.56,2937.00,4417.00,2974512.00,2995.00,3071.00,3135.00,3334.00,3564.00,3755.00,4015.20,4119.00,4298.00,316.90
Usage Total Tokens (tokens),4074.64,3454.00,4906.00,3398248.00,3467.00,3577.00,3645.00,3864.00,4086.00,4261.50,4539.50,4662.00,4786.00,317.83

Metric,Value
Benchmark Duration (sec),599.43
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),706.90
Request Count,834.00
Request Throughput (requests/sec),1.39
Total Input Sequence Length (tokens),2974512.00
Total Output Sequence Length (tokens),423736.00
Total Output Tokens (tokens),423736.00
Total Token Throughput (tokens/sec),5669.17
Total Usage Completion Tokens (tokens),423736.00
Total Usage Prompt Tokens (tokens),2974512.00
Total Usage Total Tokens (tokens),3398248.00
