Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),10.57,5.74,17.28,7833.18,6.75,7.52,9.04,9.48,10.83,11.46,11.83,13.27,15.56,1.63
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,125.69,61.00,128.00,93136.00,86.40,109.00,123.00,128.00,128.00,128.00,128.00,128.00,128.00,8.10
HTTP Chunks Sent,1.00,1.00,1.00,741.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.80,6.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.08
HTTP Connection Overhead (ms),0.01,0.00,0.80,6.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.08
HTTP Connection Reused (ratio),0.98,0.00,1.00,729.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.13
HTTP Data Received (KB),32.37,16.02,33.10,23987.75,22.43,28.17,31.74,32.91,32.95,32.98,33.01,33.03,33.08,2.05
HTTP Data Sent (KB),4.04,0.76,10.92,2992.79,1.10,1.56,1.85,2.51,3.64,5.15,6.98,8.11,10.09,2.02
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12195.00,5606.81,19151.99,9036497.02,6874.77,8760.10,10466.15,11164.87,11752.20,13397.77,14077.91,16678.97,18670.56,2076.03
HTTP Receiving (ms),7780.03,2232.73,10439.78,5765002.44,3597.11,6016.91,7467.86,7806.12,7905.02,8052.07,8078.21,8227.03,10104.25,903.89
HTTP Sending (ms),0.18,0.12,1.00,136.83,0.13,0.13,0.14,0.14,0.15,0.19,0.25,0.33,0.82,0.11
HTTP Total Time (ms),12195.01,5606.81,19151.99,9036504.00,6874.77,8760.10,10466.15,11164.87,11752.20,13397.77,14077.91,16678.97,18671.14,2076.05
HTTP Waiting (TTFB) (ms),4414.79,86.34,11514.80,3271357.76,672.23,2766.62,3051.67,3276.26,3770.91,5434.82,6059.38,8905.42,11043.16,1833.41
Input Sequence Length (tokens),879.08,168.00,2400.00,651398.00,236.60,331.00,401.00,531.00,783.00,1104.00,1500.00,1799.00,2247.60,448.05
Inter Chunk Latency (ms),62.37,3.55,2386.06,5756809.36,16.98,18.27,18.74,19.55,20.46,160.01,164.53,166.07,168.13,69.57
Inter Token Latency (ms),62.18,25.21,105.62,46075.18,39.24,53.54,60.36,61.48,62.26,63.46,63.64,69.77,80.70,5.87
OSL Mismatch Diff % (%),-1.80,-52.34,0.00,-1337.50,-32.50,-14.84,-3.91,0.00,0.00,0.00,0.00,0.00,0.00,6.33
Output Sequence Length (tokens),125.69,61.00,128.00,93136.00,86.40,109.00,123.00,128.00,128.00,128.00,128.00,128.00,128.00,8.10
Output Token Count (tokens),125.69,61.00,128.00,93136.00,86.40,109.00,123.00,128.00,128.00,128.00,128.00,128.00,128.00,8.10
Output Token Throughput Per User (tokens/sec/user),16.26,9.47,39.67,12051.13,12.39,14.33,15.71,15.76,16.06,16.26,16.57,18.68,25.48,2.08
Prefill Throughput Per User (tokens/sec/user),259.69,28.55,6527.38,192431.24,44.07,66.48,82.70,124.33,193.10,283.57,410.71,550.22,1545.74,420.87
Request Latency (ms),12184.00,5440.44,19152.01,9028347.49,6854.29,8595.32,10392.61,11150.65,11748.46,13394.31,14077.96,16679.04,18670.62,2083.74
Time to First Output Token (ms),4415.03,86.56,11515.16,3271538.13,672.57,2766.81,3051.86,3276.46,3771.11,5435.00,6059.61,8905.72,11044.15,1833.43
Time to First Token (ms),4415.03,86.56,11515.16,3271538.13,672.57,2766.81,3051.86,3276.46,3771.11,5435.00,6059.61,8905.72,11044.15,1833.43
Time to Second Token (ms),159.40,16.92,2166.74,118113.92,18.98,106.65,151.73,161.40,163.38,165.00,166.55,167.29,170.83,78.20
Usage Completion Tokens (tokens),125.69,61.00,128.00,93136.00,86.40,109.00,123.00,128.00,128.00,128.00,128.00,128.00,128.00,8.10
Usage Prompt Tokens (tokens),879.08,168.00,2400.00,651398.00,236.60,331.00,401.00,531.00,783.00,1104.00,1500.00,1799.00,2247.60,448.05
Usage Total Tokens (tokens),1004.77,229.00,2528.00,744534.00,325.40,447.00,528.00,659.00,911.00,1232.00,1628.00,1927.00,2375.60,450.81

Metric,Value
Benchmark Duration (sec),76.91
OSL Mismatch Count,70.00
Output Token Throughput (tokens/sec),1211.01
Request Count,741.00
Request Throughput (requests/sec),9.63
Total Input Sequence Length (tokens),651398.00
Total Output Sequence Length (tokens),93136.00
Total Output Tokens (tokens),93136.00
Total Token Throughput (tokens/sec),9680.87
Total Usage Completion Tokens (tokens),93136.00
Total Usage Prompt Tokens (tokens),651398.00
Total Usage Total Tokens (tokens),744534.00
