Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),13.73,5.83,26.69,37333.44,7.73,9.90,10.37,11.84,12.88,14.03,16.39,24.76,25.73,3.94
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,207.21,87.00,357.00,563604.00,87.00,127.00,140.00,178.00,208.00,239.00,272.00,279.00,319.00,48.55
HTTP Chunks Sent,1.00,1.00,1.00,2720.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,1.28,6.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
HTTP Connection Overhead (ms),0.00,0.00,1.28,6.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
HTTP Connection Reused (ratio),1.00,0.00,1.00,2712.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),52.90,22.52,90.80,143900.34,22.57,32.70,36.02,45.54,53.07,60.98,69.29,71.09,81.24,12.25
HTTP Data Sent (KB),1.06,0.61,1.74,2894.17,0.64,0.70,0.75,0.92,1.06,1.22,1.36,1.46,1.55,0.23
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),15535.70,3874.11,22453.26,42257114.58,5726.13,8502.16,11600.56,14372.97,15963.31,17350.05,18715.12,19349.08,21801.45,3065.88
HTTP Receiving (ms),7923.79,2721.01,14097.59,21552696.42,3379.94,4845.62,5379.94,6701.25,7958.21,9104.55,10434.94,10911.11,12525.09,1940.68
HTTP Sending (ms),0.21,0.12,3.64,581.05,0.14,0.14,0.15,0.15,0.19,0.24,0.28,0.32,0.59,0.16
HTTP Total Time (ms),15535.71,3874.11,22453.26,42257121.52,5726.13,8502.16,11600.56,14372.97,15963.31,17350.05,18715.12,19349.08,21801.45,3065.89
HTTP Waiting (TTFB) (ms),7611.70,128.39,11768.17,20703837.10,640.70,1839.13,5532.49,8071.05,8234.48,8393.47,8527.10,8629.91,10707.95,2058.61
Input Sequence Length (tokens),240.78,136.00,382.00,654920.00,145.00,158.00,169.00,202.00,240.00,272.00,310.00,333.55,363.00,52.87
Inter Chunk Latency (ms),38.52,3.23,181.29,21551532.68,21.90,24.98,25.96,27.84,43.11,44.99,46.49,47.53,55.53,10.03
Inter Token Latency (ms),38.38,26.16,41.27,104398.01,28.70,32.95,37.43,38.57,38.96,39.28,39.52,39.65,39.88,2.09
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),207.21,87.00,357.00,563604.00,87.00,127.00,140.00,178.00,208.00,239.00,272.00,279.00,319.00,48.55
Output Token Count (tokens),207.21,87.00,357.00,563604.00,87.00,127.00,140.00,178.00,208.00,239.00,272.00,279.00,319.00,48.55
Output Token Throughput Per User (tokens/sec/user),26.15,24.23,38.22,71125.36,25.07,25.22,25.30,25.46,25.67,25.92,26.72,30.35,34.85,1.75
Prefill Throughput Per User (tokens/sec/user),47.15,13.83,2122.38,128257.16,16.53,19.04,20.55,24.63,30.27,35.15,48.89,142.00,385.13,87.13
Request Latency (ms),15535.34,3874.19,22453.34,42256124.89,5726.20,8502.21,11600.62,14373.04,15963.38,17350.11,18715.19,19325.38,21801.48,3065.51
Time to First Output Token (ms),7611.98,128.63,11768.98,20704592.21,641.03,1839.36,5532.76,8071.35,8234.67,8393.77,8527.32,8630.18,10708.29,2058.62
Time to First Token (ms),7611.98,128.63,11768.98,20704592.21,641.03,1839.36,5532.76,8071.35,8234.67,8393.77,8527.32,8630.18,10708.29,2058.62
Time to Second Token (ms),42.90,10.53,169.55,116683.43,22.80,25.13,26.19,28.77,43.34,45.14,47.24,50.26,148.62,22.01
Usage Completion Tokens (tokens),207.21,87.00,357.00,563604.00,87.00,127.00,140.00,178.00,208.00,239.00,272.00,279.00,319.00,48.55
Usage Prompt Tokens (tokens),240.78,136.00,382.00,654920.00,145.00,158.00,169.00,202.00,240.00,272.00,310.00,333.55,363.00,52.87
Usage Total Tokens (tokens),447.99,270.00,637.00,1218524.00,270.00,332.00,353.00,397.00,450.00,497.00,536.00,570.00,580.00,69.67

Metric,Value
Benchmark Duration (sec),90.93
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),6198.00
Request Count,2720.00
Request Throughput (requests/sec),29.91
Total Input Sequence Length (tokens),654920.00
Total Output Sequence Length (tokens),563604.00
Total Output Tokens (tokens),563604.00
Total Token Throughput (tokens/sec),13400.20
Total Usage Completion Tokens (tokens),563604.00
Total Usage Prompt Tokens (tokens),654920.00
Total Usage Total Tokens (tokens),1218524.00
