Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),20.36,12.65,34.47,11746.69,13.27,16.21,18.89,19.86,20.58,21.14,21.71,22.01,27.77,2.09
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.50,72.00,128.00,72991.00,98.76,117.80,128.00,128.00,128.00,128.00,128.00,128.00,128.00,6.03
HTTP Chunks Sent,1.00,1.00,1.00,577.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,0.91,10.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.11
HTTP Connection Overhead (ms),0.02,0.00,0.91,10.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.11
HTTP Connection Reused (ratio),0.97,0.00,1.00,561.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.16
HTTP Data Received (KB),32.58,18.79,33.12,18798.01,25.64,30.36,32.83,32.92,32.95,32.98,33.01,33.04,33.07,1.52
HTTP Data Sent (KB),4.13,0.99,10.76,2382.26,1.44,1.67,1.94,2.63,3.71,5.18,6.88,8.25,10.14,1.99
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),6299.33,2104.30,10117.38,3634715.54,3936.57,5596.26,5847.37,6035.99,6196.18,6430.06,6734.20,7896.63,9642.35,816.56
HTTP Receiving (ms),5689.26,1635.55,6428.16,3282700.83,3294.97,4871.86,5398.77,5613.43,5778.96,5898.69,6083.31,6192.14,6330.68,510.59
HTTP Sending (ms),0.19,0.12,1.24,112.46,0.13,0.13,0.14,0.14,0.15,0.18,0.26,0.44,0.90,0.15
HTTP Total Time (ms),6299.35,2104.30,10118.26,3634726.20,3936.57,5596.26,5847.37,6035.99,6196.18,6430.14,6734.20,7896.63,9642.35,816.59
HTTP Waiting (TTFB) (ms),609.88,69.96,4303.56,351902.26,82.01,109.27,167.36,276.02,423.70,629.49,955.84,2177.97,3854.38,708.31
Input Sequence Length (tokens),895.97,218.00,2301.00,516973.00,299.04,352.00,421.20,569.00,801.00,1147.00,1493.00,1812.40,2157.84,433.00
Inter Chunk Latency (ms),45.32,0.62,180.25,3278917.82,14.63,15.52,15.91,16.49,17.18,60.14,153.13,159.16,161.54,49.79
Inter Token Latency (ms),45.20,22.82,55.53,26080.96,30.82,41.80,42.71,44.31,45.55,46.68,48.20,48.92,49.95,3.09
OSL Mismatch Diff % (%),-1.17,-43.75,0.00,-675.78,-22.84,-7.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.71
Output Sequence Length (tokens),126.50,72.00,128.00,72991.00,98.76,117.80,128.00,128.00,128.00,128.00,128.00,128.00,128.00,6.03
Output Token Count (tokens),126.50,72.00,128.00,72991.00,98.76,117.80,128.00,128.00,128.00,128.00,128.00,128.00,128.00,6.03
Output Token Throughput Per User (tokens/sec/user),22.26,18.01,43.83,12845.34,20.02,20.44,20.75,21.42,21.95,22.57,23.42,23.92,32.44,2.09
Prefill Throughput Per User (tokens/sec/user),2540.20,93.14,9719.62,1465693.81,179.28,411.47,632.94,1154.33,1982.92,3300.75,5439.77,6762.34,8746.08,1936.12
Request Latency (ms),6292.84,2088.77,10117.46,3630967.41,3841.22,5560.59,5842.92,6036.04,6194.34,6428.23,6734.25,7896.69,9642.40,824.25
Time to First Output Token (ms),610.14,70.17,4304.60,352049.58,82.24,109.46,167.58,276.21,423.91,629.67,956.15,2178.46,3854.69,708.40
Time to First Token (ms),610.14,70.17,4304.60,352049.58,82.24,109.46,167.58,276.21,423.91,629.67,956.15,2178.46,3854.69,708.40
Time to Second Token (ms),116.11,3.81,172.59,66994.68,14.87,15.87,17.05,80.39,146.74,158.31,159.92,160.98,162.49,50.98
Usage Completion Tokens (tokens),126.50,72.00,128.00,72991.00,98.76,117.80,128.00,128.00,128.00,128.00,128.00,128.00,128.00,6.03
Usage Prompt Tokens (tokens),895.97,218.00,2301.00,516973.00,299.04,352.00,421.20,569.00,801.00,1147.00,1493.00,1812.40,2157.84,433.00
Usage Total Tokens (tokens),1022.47,305.00,2429.00,589964.00,415.52,477.60,544.00,697.00,929.00,1275.00,1621.00,1940.40,2285.84,434.55

Metric,Value
Benchmark Duration (sec),59.78
OSL Mismatch Count,42.00
Output Token Throughput (tokens/sec),1221.00
Request Count,577.00
Request Throughput (requests/sec),9.65
Total Input Sequence Length (tokens),516973.00
Total Output Sequence Length (tokens),72991.00
Total Output Tokens (tokens),72991.00
Total Token Throughput (tokens/sec),9868.99
Total Usage Completion Tokens (tokens),72991.00
Total Usage Prompt Tokens (tokens),516973.00
Total Usage Total Tokens (tokens),589964.00
