Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),4.43,2.21,32.04,3934.57,2.29,2.48,2.57,2.80,3.04,3.38,7.05,11.94,28.78,4.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,494.36,382.00,630.00,438991.00,382.87,413.00,424.10,455.75,503.00,534.00,556.30,564.00,590.00,50.06
HTTP Chunks Sent,1.00,1.00,1.00,888.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.00,4.10,208.65,0.00,0.00,0.00,0.00,0.00,0.00,0.92,1.75,2.83,0.62
HTTP Connection Overhead (ms),0.24,0.00,4.10,209.18,0.00,0.00,0.00,0.00,0.00,0.00,0.92,1.75,2.83,0.62
HTTP Connection Reused (ratio),0.84,0.00,1.00,745.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),125.43,96.92,159.77,111382.77,97.38,104.28,107.66,115.61,127.70,135.38,141.02,143.22,149.68,12.64
HTTP Data Sent (KB),15.09,11.71,18.58,13403.95,12.28,12.77,13.07,14.06,15.16,15.89,17.08,17.61,18.43,1.45
HTTP DNS Lookup (ms),0.00,0.00,0.53,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
HTTP Duration (excl. conn) (ms),148264.97,13041.58,178302.21,131659296.47,16849.06,42625.72,70600.45,156090.48,169309.04,171172.34,172672.70,173381.98,175013.42,43161.28
HTTP Receiving (ms),13998.57,8789.27,20308.68,12430728.88,10255.53,11230.17,11806.84,12810.83,14131.34,15162.68,15980.76,16518.42,18196.04,1684.88
HTTP Sending (ms),0.44,0.13,6.04,391.13,0.13,0.14,0.14,0.14,0.16,0.21,1.26,2.25,3.66,0.75
HTTP Total Time (ms),148265.21,13041.58,178303.09,131659505.65,16849.06,42625.72,70600.45,156092.22,169309.04,171172.34,172672.70,173381.98,175013.42,43161.21
HTTP Waiting (TTFB) (ms),134265.96,343.47,163550.90,119228176.46,2837.00,28565.82,57025.87,142264.90,155636.05,156875.05,157881.65,158346.62,159280.52,43146.28
Input Sequence Length (tokens),3520.93,2834.00,4252.00,3126585.00,2921.87,3026.15,3119.10,3273.00,3477.00,3752.00,3970.10,4088.65,4216.33,321.16
Inter Chunk Latency (ms),28.47,0.00,6893.49,12430167.91,14.43,15.85,16.38,16.90,17.37,17.90,19.19,161.70,168.96,41.25
Inter Token Latency (ms),28.35,21.92,45.74,25173.49,24.80,26.32,26.89,27.65,28.32,28.98,29.69,30.17,33.30,1.50
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),494.38,382.00,630.00,439008.00,382.87,413.00,424.10,455.75,503.00,534.00,556.30,564.00,590.00,50.07
Output Token Count (tokens),494.38,382.00,630.00,439008.00,382.87,413.00,424.10,455.75,503.00,534.00,556.30,564.00,590.00,50.07
Output Token Throughput Per User (tokens/sec/user),35.37,21.86,45.62,31405.25,30.03,33.15,33.68,34.50,35.31,36.17,37.18,37.99,40.32,1.75
Prefill Throughput Per User (tokens/sec/user),80.70,17.92,10365.19,71662.34,18.71,19.52,20.31,21.50,23.41,26.77,62.12,132.04,1223.07,463.65
Request Latency (ms),148264.40,13041.65,178302.26,131658789.52,16849.13,42511.42,70600.51,156090.58,169309.09,171172.39,172666.67,173382.04,175013.48,43162.11
Time to First Output Token (ms),134266.47,343.84,163551.98,119228621.61,2837.35,28566.16,57026.11,142266.20,155636.25,156875.32,157881.85,158346.87,159280.71,43146.17
Time to First Token (ms),134266.47,343.84,163551.98,119228621.61,2837.35,28566.16,57026.11,142266.20,155636.25,156875.32,157881.85,158346.87,159280.71,43146.17
Time to Second Token (ms),43.81,9.23,417.46,38902.12,11.31,14.14,14.42,14.91,15.48,16.27,165.74,168.53,170.93,59.64
Usage Completion Tokens (tokens),494.38,382.00,630.00,439008.00,382.87,413.00,424.10,455.75,503.00,534.00,556.30,564.00,590.00,50.07
Usage Prompt Tokens (tokens),3520.93,2834.00,4252.00,3126585.00,2921.87,3026.15,3119.10,3273.00,3477.00,3752.00,3970.10,4088.65,4216.33,321.16
Usage Total Tokens (tokens),4015.31,3274.00,4756.00,3565593.00,3448.00,3522.75,3627.00,3780.00,3943.00,4241.00,4451.20,4581.30,4744.69,323.07

Metric,Value
Benchmark Duration (sec),599.31
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),732.52
Request Count,888.00
Request Throughput (requests/sec),1.48
Total Input Sequence Length (tokens),3126585.00
Total Output Sequence Length (tokens),439008.00
Total Output Tokens (tokens),439008.00
Total Token Throughput (tokens/sec),5949.47
Total Usage Completion Tokens (tokens),439008.00
Total Usage Prompt Tokens (tokens),3126585.00
Total Usage Total Tokens (tokens),3565593.00
