Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),3.16,1.44,15.81,7482.98,2.06,2.37,2.49,2.54,2.58,2.69,4.25,6.73,13.80,1.99
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.42,60.00,128.00,299478.00,93.00,116.00,127.00,128.00,128.00,128.00,128.00,128.00,128.00,6.36
HTTP Chunks Sent,1.00,1.00,1.00,2369.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.91,6.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Overhead (ms),0.00,0.00,0.91,6.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Reused (ratio),1.00,0.00,1.00,2361.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),32.56,15.78,33.13,77124.63,24.11,29.96,32.83,32.92,32.95,32.98,33.01,33.03,33.06,1.61
HTTP Data Sent (KB),4.15,0.69,10.92,9838.06,1.30,1.66,1.96,2.66,3.76,5.27,6.89,8.09,9.85,1.96
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),45658.72,7506.55,55813.62,108165512.05,9142.16,18631.19,29764.63,47415.19,49536.03,50284.50,51110.08,51488.90,54013.10,9922.17
HTTP Receiving (ms),7879.21,1662.09,10494.88,18665855.50,4147.99,6709.79,7738.19,7871.45,7941.33,8027.32,8157.38,8385.01,10146.51,794.38
HTTP Sending (ms),0.19,0.10,2.57,459.13,0.13,0.14,0.14,0.14,0.15,0.19,0.24,0.27,1.02,0.18
HTTP Total Time (ms),45658.72,7506.55,55814.51,108165518.10,9142.16,18631.19,29764.63,47415.19,49536.03,50284.50,51110.08,51488.90,54013.10,9922.18
HTTP Waiting (TTFB) (ms),37779.32,123.50,47903.54,89499197.42,1561.99,11004.03,21742.90,39565.83,41626.32,42316.78,43107.68,43712.84,46155.01,9903.48
Input Sequence Length (tokens),904.72,155.00,2400.00,2143271.00,272.04,358.00,427.80,577.00,811.00,1151.00,1498.20,1787.00,2164.56,429.34
Inter Chunk Latency (ms),62.80,0.00,2438.26,18642694.54,16.95,18.30,18.76,19.47,20.43,161.12,165.25,166.52,168.99,69.66
Inter Token Latency (ms),62.63,25.65,98.64,148375.06,42.03,57.17,60.95,62.01,62.54,63.23,64.38,68.16,80.78,5.20
OSL Mismatch Diff % (%),-1.24,-53.12,0.00,-2928.12,-27.34,-9.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.97
Output Sequence Length (tokens),126.42,60.00,128.00,299484.00,93.00,116.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,6.36
Output Token Count (tokens),126.42,60.00,128.00,299484.00,93.00,116.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,6.36
Output Token Throughput Per User (tokens/sec/user),16.10,10.14,38.98,38141.45,12.38,14.67,15.53,15.82,15.99,16.13,16.41,17.49,23.79,1.74
Prefill Throughput Per User (tokens/sec/user),46.59,3.92,6223.28,110375.14,6.84,8.94,10.75,14.91,21.22,31.70,47.85,89.32,688.88,194.51
Request Latency (ms),45649.00,7487.31,55813.67,108142490.89,9141.61,18631.25,29764.70,47387.01,49531.07,50283.78,51110.13,51488.96,54013.17,9923.65
Time to First Output Token (ms),37779.57,123.73,47904.53,89499796.35,1562.52,11004.36,21743.18,39566.03,41626.52,42317.00,43107.90,43713.05,46155.20,9903.44
Time to First Token (ms),37779.57,123.73,47904.53,89499796.35,1562.52,11004.36,21743.18,39566.03,41626.52,42317.00,43107.90,43713.05,46155.20,9903.44
Time to Second Token (ms),160.19,12.58,2391.06,379485.43,18.71,122.70,157.16,162.71,164.25,165.71,167.17,168.20,171.34,69.03
Usage Completion Tokens (tokens),126.42,60.00,128.00,299484.00,93.00,116.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,6.36
Usage Prompt Tokens (tokens),904.72,155.00,2400.00,2143271.00,272.04,358.00,427.80,577.00,811.00,1151.00,1498.20,1787.00,2164.56,429.34
Usage Total Tokens (tokens),1031.13,236.00,2528.00,2442755.00,383.08,480.00,553.00,702.00,939.00,1277.00,1625.40,1915.00,2292.56,431.20

Metric,Value
Benchmark Duration (sec),235.90
OSL Mismatch Count,168.00
Output Token Throughput (tokens/sec),1269.53
Request Count,2369.00
Request Throughput (requests/sec),10.04
Total Input Sequence Length (tokens),2143271.00
Total Output Sequence Length (tokens),299484.00
Total Output Tokens (tokens),299484.00
Total Token Throughput (tokens/sec),10354.95
Total Usage Completion Tokens (tokens),299484.00
Total Usage Prompt Tokens (tokens),2143271.00
Total Usage Total Tokens (tokens),2442755.00
