Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),79.13,73.00,88.73,11790.43,73.01,73.71,75.07,77.17,79.26,80.92,82.87,83.88,85.43,3.01
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,125.91,84.00,128.00,18761.00,93.76,113.00,122.00,128.00,128.00,128.00,128.00,128.00,128.00,6.76
HTTP Chunks Sent,1.00,1.00,1.00,149.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,149.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),32.43,21.87,33.10,4831.47,24.27,29.15,31.46,32.91,32.95,32.97,33.00,33.02,33.05,1.71
HTTP Data Sent (KB),3.99,1.03,9.84,594.28,1.28,1.72,1.96,2.47,3.71,5.00,6.67,7.63,8.91,1.86
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1595.66,1070.26,1753.29,237753.30,1165.36,1386.60,1504.33,1567.36,1604.72,1656.35,1704.53,1736.49,1753.16,109.97
HTTP Receiving (ms),1497.13,1022.32,1674.62,223072.98,1093.54,1335.69,1413.83,1463.79,1509.84,1550.35,1604.70,1618.84,1649.71,102.79
HTTP Sending (ms),0.14,0.12,0.42,20.77,0.12,0.12,0.13,0.13,0.13,0.14,0.16,0.17,0.19,0.03
HTTP Total Time (ms),1595.66,1070.26,1753.29,237753.30,1165.36,1386.60,1504.33,1567.36,1604.72,1656.35,1704.53,1736.49,1753.16,109.97
HTTP Waiting (TTFB) (ms),98.39,40.84,252.50,14659.55,42.16,47.42,49.00,65.04,85.79,122.76,169.78,196.17,215.37,45.00
Input Sequence Length (tokens),867.65,233.00,2113.00,129280.00,270.52,364.40,419.80,545.00,789.00,1062.00,1470.40,1710.20,2064.00,418.44
Inter Chunk Latency (ms),11.99,1.61,147.51,222835.57,9.46,10.16,10.37,10.66,10.92,11.21,11.55,11.86,54.53,8.54
Inter Token Latency (ms),11.97,10.75,13.19,1783.57,10.81,11.13,11.43,11.62,11.94,12.26,12.65,12.77,13.07,0.49
OSL Mismatch Diff % (%),-1.63,-34.38,0.00,-242.97,-26.75,-11.72,-4.69,0.00,0.00,0.00,0.00,0.00,0.00,5.28
Output Sequence Length (tokens),125.91,84.00,128.00,18761.00,93.76,113.00,122.00,128.00,128.00,128.00,128.00,128.00,128.00,6.76
Output Token Count (tokens),125.91,84.00,128.00,18761.00,93.76,113.00,122.00,128.00,128.00,128.00,128.00,128.00,128.00,6.76
Output Token Throughput Per User (tokens/sec/user),83.68,75.84,93.06,12468.73,76.54,78.32,79.07,81.58,83.74,86.06,87.52,89.90,92.50,3.46
Prefill Throughput Per User (tokens/sec/user),9124.58,1250.75,12683.27,1359563.07,2496.64,4642.55,5341.93,7685.61,9611.28,11151.64,12047.19,12332.37,12598.36,2529.93
Request Latency (ms),1594.12,1058.70,1753.34,237524.20,1153.99,1375.45,1501.11,1567.41,1604.19,1656.40,1704.59,1736.54,1753.21,112.68
Time to First Output Token (ms),98.58,41.02,252.67,14688.63,42.35,47.60,49.17,65.27,85.97,123.07,169.97,196.35,215.59,45.00
Time to First Token (ms),98.58,41.02,252.67,14688.63,42.35,47.60,49.17,65.27,85.97,123.07,169.97,196.35,215.59,45.00
Time to Second Token (ms),17.80,4.82,133.40,2652.38,8.25,9.06,9.30,9.83,10.28,10.75,40.59,77.77,125.33,23.98
Usage Completion Tokens (tokens),125.91,84.00,128.00,18761.00,93.76,113.00,122.00,128.00,128.00,128.00,128.00,128.00,128.00,6.76
Usage Prompt Tokens (tokens),867.65,233.00,2113.00,129280.00,270.52,364.40,419.80,545.00,789.00,1062.00,1470.40,1710.20,2064.00,418.44
Usage Total Tokens (tokens),993.56,335.00,2241.00,148041.00,383.64,461.00,547.00,672.00,917.00,1185.00,1598.40,1838.20,2192.00,420.86

Metric,Value
Benchmark Duration (sec),59.70
OSL Mismatch Count,14.00
Output Token Throughput (tokens/sec),314.27
Request Count,149.00
Request Throughput (requests/sec),2.50
Total Input Sequence Length (tokens),129280.00
Total Output Sequence Length (tokens),18761.00
Total Output Tokens (tokens),18761.00
Total Token Throughput (tokens/sec),2479.89
Total Usage Completion Tokens (tokens),18761.00
Total Usage Prompt Tokens (tokens),129280.00
Total Usage Total Tokens (tokens),148041.00
