Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),40.69,32.41,47.08,6469.09,32.69,35.42,38.15,40.06,40.97,41.87,42.95,43.74,46.04,2.42
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,490.85,382.00,652.00,78045.00,400.00,427.70,439.00,464.00,487.00,513.50,541.20,557.00,623.58,43.37
HTTP Chunks Sent,1.00,1.00,1.00,159.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,159.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),124.52,97.09,165.33,19799.06,101.70,108.62,111.30,117.72,123.39,130.32,137.45,141.37,157.27,10.93
HTTP Data Sent (KB),15.08,12.00,18.16,2397.38,12.34,12.88,13.42,14.05,15.20,16.09,16.56,17.23,17.94,1.31
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),12118.39,9069.72,16460.79,1926824.35,9491.57,10088.12,10473.93,11185.10,12002.67,12907.12,13915.26,14644.59,16233.64,1394.05
HTTP Receiving (ms),11546.16,7829.64,16149.25,1835838.84,8746.08,9503.90,9911.14,10681.92,11484.39,12310.07,13084.52,13737.64,15325.30,1313.72
HTTP Sending (ms),0.15,0.12,0.26,23.54,0.12,0.13,0.13,0.13,0.14,0.16,0.18,0.19,0.23,0.02
HTTP Total Time (ms),12118.39,9069.72,16460.79,1926824.35,9491.57,10088.12,10473.93,11185.10,12002.67,12907.12,13915.26,14644.59,16233.64,1394.05
HTTP Waiting (TTFB) (ms),572.09,256.87,4344.31,90961.98,273.94,285.39,291.24,309.57,334.51,419.34,806.59,2212.83,4021.59,722.89
Input Sequence Length (tokens),3519.40,2801.00,4187.00,559585.00,2982.00,3004.00,3125.40,3275.50,3532.00,3736.00,3893.00,3957.00,4162.06,290.33
Inter Chunk Latency (ms),23.65,0.28,344.23,1835838.36,13.77,14.94,15.24,15.60,15.94,16.32,16.86,114.72,160.24,31.11
Inter Token Latency (ms),23.54,18.82,27.99,3742.55,20.38,21.84,22.40,22.98,23.63,24.12,24.75,25.20,26.74,1.15
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),490.85,382.00,652.00,78045.00,400.00,427.70,439.00,464.00,487.00,513.50,541.20,557.00,623.58,43.37
Output Token Count (tokens),490.85,382.00,652.00,78045.00,400.00,427.70,439.00,464.00,487.00,513.50,541.20,557.00,623.58,43.37
Output Token Throughput Per User (tokens/sec/user),42.59,35.73,53.13,6771.53,37.42,39.68,40.40,41.47,42.32,43.51,44.64,45.78,49.07,2.14
Prefill Throughput Per User (tokens/sec/user),9264.10,728.35,11774.09,1472991.67,850.47,1554.31,4617.01,8514.06,10831.70,11127.02,11302.30,11357.34,11421.27,3048.56
Request Latency (ms),12118.45,9069.77,16460.85,1926832.79,9491.64,10088.18,10473.98,11185.15,12002.73,12907.17,13915.30,14644.64,16233.69,1394.05
Time to First Output Token (ms),572.29,257.09,4344.51,90994.43,274.15,285.60,291.47,309.77,334.72,419.52,806.78,2213.06,4021.85,722.90
Time to First Token (ms),572.29,257.09,4344.51,90994.43,274.15,285.60,291.47,309.77,334.72,419.52,806.78,2213.06,4021.85,722.90
Time to Second Token (ms),47.68,11.28,164.29,7580.68,12.80,13.36,13.53,13.80,14.35,15.19,160.39,161.83,164.20,61.09
Usage Completion Tokens (tokens),490.85,382.00,652.00,78045.00,400.00,427.70,439.00,464.00,487.00,513.50,541.20,557.00,623.58,43.37
Usage Prompt Tokens (tokens),3519.40,2801.00,4187.00,559585.00,2982.00,3004.00,3125.40,3275.50,3532.00,3736.00,3893.00,3957.00,4162.06,290.33
Usage Total Tokens (tokens),4010.25,3380.00,4711.00,637630.00,3439.00,3493.00,3614.00,3758.00,4007.00,4234.50,4371.80,4435.80,4637.92,292.14

Metric,Value
Benchmark Duration (sec),126.46
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),617.16
Request Count,159.00
Request Throughput (requests/sec),1.26
Total Input Sequence Length (tokens),559585.00
Total Output Sequence Length (tokens),78045.00
Total Output Tokens (tokens),78045.00
Total Token Throughput (tokens/sec),5042.20
Total Usage Completion Tokens (tokens),78045.00
Total Usage Prompt Tokens (tokens),559585.00
Total Usage Total Tokens (tokens),637630.00
